Sex,Age,Education,Food,MeanConsumption_total,5PercentileConsumption,50PercentileConsuption,95PercentileConsumption,ConsumptionDays,MeanConsumptiononConsumptionDays,5percentileConsumptiondays,50percentileConsumptiondays,95percentileConsumptiondays
Male,19 to 79 years,Education: lower,0100. Unclassified and other tubers,0.7,0.0,0.0,0.0,0.7,119.6,75.6,75.6,166.3
Female,19 to 79 years,Education: lower,0100. Unclassified and other tubers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total male and female,1 to 18 years,Education: intermediate,0100. Unclassified and other tubers,0.1,0.0,0.0,0.0,0.2,28.4,13.8,28.6,38.5
Male,1 to 18 years,Education: intermediate,0100. Unclassified and other tubers,0.1,0.0,0.0,0.0,0.3,28.4,13.8,37.8,38.5
Female,1 to 18 years,Education: intermediate,0100. Unclassified and other tubers,0.0,0.0,0.0,0.0,0.2,28.6,28.6,28.6,28.6
Total male and female,19 to 79 years,Education: intermediate,0100. Unclassified and other tubers,0.1,0.0,0.0,0.0,0.2,47.0,8.6,48.0,75.6
Male,19 to 79 years,Education: intermediate,0100. Unclassified and other tubers,0.2,0.0,0.0,0.0,0.3,63.6,48.0,75.6,75.6
Female,19 to 79 years,Education: intermediate,0100. Unclassified and other tubers,0.0,0.0,0.0,0.0,0.2,8.6,8.6,8.6,8.6
Total male and female,1 to 18 years,Education: higher,0100. Unclassified and other tubers,0.6,0.0,0.0,0.0,0.7,71.4,13.6,50.4,233.3
Male,1 to 18 years,Education: higher,0100. Unclassified and other tubers,0.9,0.0,0.0,0.0,0.9,89.8,20.0,77.5,233.3
Female,1 to 18 years,Education: higher,0100. Unclassified and other tubers,0.2,0.0,0.0,0.0,0.5,36.5,13.6,27.2,73.0
Total male and female,19 to 79 years,Education: higher,0100. Unclassified and other tubers,1.4,0.0,0.0,0.0,0.8,196.1,9.4,188.0,480.0
Male,19 to 79 years,Education: higher,0100. Unclassified and other tubers,0.7,0.0,0.0,0.0,0.5,154.5,102.5,148.0,199.9
Female,19 to 79 years,Education: higher,0100. Unclassified and other tubers,2.2,0.0,0.0,0.0,1.0,220.4,9.4,205.8,480.0
Total male and female,1 to 18 years,Education: lower,0101. Potatoes,67.7,0.0,60.0,182.0,55.5,123.8,25.2,105.0,256.0
Male,1 to 18 years,Education: lower,0101. Potatoes,80.1,0.0,73.2,242.0,58.1,142.0,18.0,140.0,349.0
Female,1 to 18 years,Education: lower,0101. Potatoes,54.5,0.0,49.1,130.0,52.9,102.7,25.2,93.3,194.7
Total male and female,19 to 79 years,Education: lower,0101. Potatoes,84.1,0.0,70.0,228.5,52.0,162.2,49.6,140.0,342.0
Male,19 to 79 years,Education: lower,0101. Potatoes,101.0,0.0,80.0,267.3,54.1,187.9,56.0,150.0,378.0
Female,19 to 79 years,Education: lower,0101. Potatoes,70.1,0.0,70.0,189.0,50.3,139.5,48.1,140.0,265.0
Total male and female,1 to 18 years,Education: intermediate,0101. Potatoes,64.5,0.0,50.0,197.8,53.0,121.5,30.0,103.1,270.6
Male,1 to 18 years,Education: intermediate,0101. Potatoes,66.6,0.0,56.0,204.0,51.4,129.4,30.0,112.0,300.0
Female,1 to 18 years,Education: intermediate,0101. Potatoes,62.4,0.0,48.5,181.0,54.7,113.7,30.0,97.0,256.0
Total male and female,19 to 79 years,Education: intermediate,0101. Potatoes,78.3,0.0,70.0,224.0,51.2,154.7,41.3,140.0,308.0
Male,19 to 79 years,Education: intermediate,0101. Potatoes,93.8,0.0,81.8,238.8,53.2,178.8,50.5,165.4,318.0
Female,19 to 79 years,Education: intermediate,0101. Potatoes,61.7,0.0,55.0,164.0,49.2,126.8,40.4,120.0,240.0
Total male and female,1 to 18 years,Education: higher,0101. Potatoes,50.0,0.0,36.5,149.5,45.7,109.8,24.0,97.0,239.5
Male,1 to 18 years,Education: higher,0101. Potatoes,53.6,0.0,37.5,154.0,46.3,116.8,24.7,98.0,258.0
Female,1 to 18 years,Education: higher,0101. Potatoes,46.1,0.0,36.5,139.1,45.1,102.3,23.0,83.1,226.0
Total male and female,19 to 79 years,Education: higher,0101. Potatoes,62.0,0.0,50.0,199.0,42.2,146.7,35.0,140.0,308.0
Male,19 to 79 years,Education: higher,0101. Potatoes,71.1,0.0,60.0,224.0,45.0,158.6,44.5,140.0,317.8
Female,19 to 79 years,Education: higher,0101. Potatoes,52.2,0.0,36.5,161.6,39.2,132.0,31.0,130.0,258.0
Total male and female,1 to 18 years,Education: lower,02. Vegetables,72.6,0.0,59.0,190.5,74.9,97.2,10.0,81.4,240.5
Male,1 to 18 years,Education: lower,02. Vegetables,65.1,0.0,54.8,171.4,71.3,92.0,10.0,80.5,216.1
Female,1 to 18 years,Education: lower,02. Vegetables,80.5,0.0,69.3,215.4,78.6,102.2,13.2,87.1,263.0
Total male and female,19 to 79 years,Education: lower,02. Vegetables,130.9,14.0,116.6,296.6,85.3,153.3,23.7,133.2,364.0
Male,19 to 79 years,Education: lower,02. Vegetables,122.4,14.0,107.9,266.8,84.4,144.7,24.1,126.8,342.2
Female,19 to 79 years,Education: lower,02. Vegetables,138.0,16.7,123.4,330.4,86.1,160.2,22.6,136.0,388.2
Total male and female,1 to 18 years,Education: intermediate,02. Vegetables,74.6,0.0,61.0,196.1,77.2,96.9,10.9,82.6,236.8
Male,1 to 18 years,Education: intermediate,02. Vegetables,77.9,0.0,63.1,206.2,77.5,101.0,10.1,85.8,271.1
Female,1 to 18 years,Education: intermediate,02. Vegetables,71.1,0.0,59.0,175.8,77.0,92.4,12.7,80.0,223.3
Total male and female,19 to 79 years,Education: intermediate,02. Vegetables,134.8,21.4,116.0,304.6,87.3,154.7,26.0,136.0,360.8
Male,19 to 79 years,Education: intermediate,02. Vegetables,138.6,23.3,121.1,310.4,89.7,154.8,25.7,136.0,363.6
Female,19 to 79 years,Education: intermediate,02. Vegetables,130.7,16.5,110.8,294.6,84.8,154.6,26.4,135.5,360.0
Total male and female,1 to 18 years,Education: higher,02. Vegetables,84.6,0.0,71.5,215.6,82.6,102.4,15.1,84.2,253.9
Male,1 to 18 years,Education: higher,02. Vegetables,84.6,0.0,70.2,229.7,82.7,102.6,15.0,81.6,278.1
Female,1 to 18 years,Education: higher,02. Vegetables,84.5,0.0,72.4,201.5,82.5,102.3,16.5,87.1,243.0
Total male and female,19 to 79 years,Education: higher,02. Vegetables,171.7,32.0,152.8,375.9,92.1,186.2,33.3,158.6,449.3
Male,19 to 79 years,Education: higher,02. Vegetables,164.3,35.0,146.7,365.9,91.4,179.1,34.0,154.2,424.8
Female,19 to 79 years,Education: higher,02. Vegetables,179.7,30.7,158.1,408.8,92.8,193.6,33.1,162.5,462.1
Total male and female,1 to 18 years,Education: lower,0200. Unclass.,4.7,0.0,0.0,37.0,9.8,47.7,6.2,35.5,112.0
Male,1 to 18 years,Education: lower,0200. Unclass.,4.3,0.0,0.0,37.0,9.7,42.8,4.9,31.8,100.0
Female,1 to 18 years,Education: lower,0200. Unclass.,5.2,0.0,0.0,28.4,9.9,52.8,15.9,42.1,112.0
Total male and female,19 to 79 years,Education: lower,0200. Unclass.,14.4,0.0,0.0,81.0,15.6,91.9,21.2,73.0,228.0
Male,19 to 79 years,Education: lower,0200. Unclass.,14.8,0.0,0.0,81.0,14.9,97.6,21.2,80.0,228.0
Female,19 to 79 years,Education: lower,0200. Unclass.,14.0,0.0,0.0,82.0,16.2,87.7,22.0,60.9,211.1
Total male and female,1 to 18 years,Education: intermediate,0200. Unclass.,5.7,0.0,0.0,32.7,11.6,50.0,6.7,36.5,162.0
Male,1 to 18 years,Education: intermediate,0200. Unclass.,6.6,0.0,0.0,33.9,11.8,57.4,8.9,41.4,179.4
Female,1 to 18 years,Education: intermediate,0200. Unclass.,4.8,0.0,0.0,30.0,11.5,42.0,4.3,33.5,100.0
Total male and female,19 to 79 years,Education: intermediate,0200. Unclass.,13.3,0.0,0.0,81.0,14.1,94.7,16.5,74.9,203.0
Male,19 to 79 years,Education: intermediate,0200. Unclass.,13.1,0.0,0.0,81.0,12.2,106.6,22.5,92.7,225.0
Female,19 to 79 years,Education: intermediate,0200. Unclass.,13.4,0.0,0.0,81.0,16.0,85.0,14.6,64.2,200.0
Total male and female,1 to 18 years,Education: higher,0200. Unclass.,5.2,0.0,0.0,33.2,9.9,53.1,9.0,42.9,150.0
Male,1 to 18 years,Education: higher,0200. Unclass.,5.9,0.0,0.0,35.8,10.4,58.0,9.9,44.3,160.0
Female,1 to 18 years,Education: higher,0200. Unclass.,4.5,0.0,0.0,30.4,9.4,47.4,8.7,39.5,102.6
Total male and female,19 to 79 years,Education: higher,0200. Unclass.,13.1,0.0,0.0,81.7,14.2,93.3,15.5,72.6,228.0
Male,19 to 79 years,Education: higher,0200. Unclass.,15.9,0.0,0.0,91.0,15.2,106.1,21.9,100.0,228.0
Female,19 to 79 years,Education: higher,0200. Unclass.,10.1,0.0,0.0,62.5,13.2,77.7,11.3,58.1,200.0
Total male and female,1 to 18 years,Education: lower,0201. Leafy vegetables (exc. cabbages),10.1,0.0,0.0,55.1,15.6,65.2,12.3,50.0,174.0
Male,1 to 18 years,Education: lower,0201. Leafy vegetables (exc. cabbages),11.7,0.0,0.0,87.0,13.2,90.2,12.3,71.6,196.0
Female,1 to 18 years,Education: lower,0201. Leafy vegetables (exc. cabbages),8.3,0.0,0.0,45.0,18.1,45.9,12.6,28.8,116.7
Total male and female,19 to 79 years,Education: lower,0201. Leafy vegetables (exc. cabbages),19.5,0.0,0.0,100.0,23.2,84.1,8.0,60.0,243.0
Male,19 to 79 years,Education: lower,0201. Leafy vegetables (exc. cabbages),16.2,0.0,0.0,97.2,19.0,84.9,8.0,68.7,200.0
Female,19 to 79 years,Education: lower,0201. Leafy vegetables (exc. cabbages),22.2,0.0,0.0,112.5,26.7,83.7,10.0,60.0,243.0
Total male and female,1 to 18 years,Education: intermediate,0201. Leafy vegetables (exc. cabbages),10.0,0.0,0.0,58.0,17.3,57.6,4.3,40.0,174.0
Male,1 to 18 years,Education: intermediate,0201. Leafy vegetables (exc. cabbages),11.4,0.0,0.0,73.0,17.3,66.2,5.7,41.3,199.0
Female,1 to 18 years,Education: intermediate,0201. Leafy vegetables (exc. cabbages),8.6,0.0,0.0,49.9,17.3,48.4,4.3,30.0,154.9
Total male and female,19 to 79 years,Education: intermediate,0201. Leafy vegetables (exc. cabbages),20.2,0.0,0.0,98.3,27.1,74.7,7.0,60.0,226.8
Male,19 to 79 years,Education: intermediate,0201. Leafy vegetables (exc. cabbages),21.5,0.0,0.0,101.3,26.0,82.6,6.0,60.0,243.0
Female,19 to 79 years,Education: intermediate,0201. Leafy vegetables (exc. cabbages),18.8,0.0,0.0,93.4,28.2,66.9,7.5,56.8,190.0
Total male and female,1 to 18 years,Education: higher,0201. Leafy vegetables (exc. cabbages),8.9,0.0,0.0,50.8,18.4,49.1,3.2,34.0,162.4
Male,1 to 18 years,Education: higher,0201. Leafy vegetables (exc. cabbages),8.5,0.0,0.0,50.5,17.0,51.0,3.5,40.0,174.0
Female,1 to 18 years,Education: higher,0201. Leafy vegetables (exc. cabbages),9.3,0.0,0.0,50.8,19.9,47.3,2.8,31.2,162.4
Total male and female,19 to 79 years,Education: higher,0201. Leafy vegetables (exc. cabbages),26.2,0.0,1.7,117.3,33.2,79.5,5.7,59.5,225.0
Male,19 to 79 years,Education: higher,0201. Leafy vegetables (exc. cabbages),25.1,0.0,0.0,113.3,29.8,84.1,7.1,60.0,225.0
Female,19 to 79 years,Education: higher,0201. Leafy vegetables (exc. cabbages),27.3,0.0,5.0,121.5,36.9,75.7,4.8,53.3,225.0
Total male and female,1 to 18 years,Education: lower,0202. Fruiting vegetables,30.2,0.0,11.7,123.8,41.0,73.7,5.4,52.0,200.0
Male,1 to 18 years,Education: lower,0202. Fruiting vegetables,25.7,0.0,6.1,91.3,39.5,65.3,5.4,51.0,172.0
Female,1 to 18 years,Education: lower,0202. Fruiting vegetables,35.0,0.0,14.4,145.0,42.5,81.9,5.6,60.0,241.3
Total male and female,19 to 79 years,Education: lower,0202. Fruiting vegetables,42.6,0.0,22.5,153.8,47.0,91.1,4.8,68.9,267.9
Male,19 to 79 years,Education: lower,0202. Fruiting vegetables,35.5,0.0,16.7,111.9,44.1,81.6,4.6,58.0,220.0
Female,19 to 79 years,Education: lower,0202. Fruiting vegetables,48.4,0.0,28.6,161.2,49.3,98.1,6.6,75.1,295.6
Total male and female,1 to 18 years,Education: intermediate,0202. Fruiting vegetables,30.8,0.0,13.1,108.5,42.8,72.4,4.6,52.0,196.4
Male,1 to 18 years,Education: intermediate,0202. Fruiting vegetables,31.6,0.0,12.4,113.5,41.7,76.4,4.0,57.0,200.5
Female,1 to 18 years,Education: intermediate,0202. Fruiting vegetables,30.0,0.0,13.7,102.0,43.9,68.3,5.1,52.0,190.5
Total male and female,19 to 79 years,Education: intermediate,0202. Fruiting vegetables,47.3,0.0,25.8,162.7,51.9,91.2,7.1,70.0,243.5
Male,19 to 79 years,Education: intermediate,0202. Fruiting vegetables,47.0,0.0,24.2,160.6,52.6,89.6,6.2,65.3,250.8
Female,19 to 79 years,Education: intermediate,0202. Fruiting vegetables,47.6,0.0,28.6,170.1,51.2,93.1,8.3,75.5,238.0
Total male and female,1 to 18 years,Education: higher,0202. Fruiting vegetables,38.5,0.0,22.4,132.2,49.3,77.8,7.0,62.3,216.4
Male,1 to 18 years,Education: higher,0202. Fruiting vegetables,37.2,0.0,18.7,142.7,46.1,80.3,6.2,62.3,242.3
Female,1 to 18 years,Education: higher,0202. Fruiting vegetables,39.8,0.0,26.0,127.4,52.6,75.5,7.2,62.4,191.0
Total male and female,19 to 79 years,Education: higher,0202. Fruiting vegetables,67.8,0.0,44.6,216.8,59.7,113.2,8.8,86.0,311.8
Male,19 to 79 years,Education: higher,0202. Fruiting vegetables,59.2,0.0,34.7,216.8,54.7,107.9,8.0,76.6,316.8
Female,19 to 79 years,Education: higher,0202. Fruiting vegetables,76.8,0.0,56.7,213.2,65.1,117.9,15.7,90.0,311.8
Total male and female,1 to 18 years,Education: lower,0203. Root vegetables,6.5,0.0,0.0,50.0,12.6,51.7,2.0,23.0,178.0
Male,1 to 18 years,Education: lower,0203. Root vegetables,6.3,0.0,0.0,54.7,12.1,51.7,5.2,23.0,178.0
Female,1 to 18 years,Education: lower,0203. Root vegetables,6.7,0.0,0.0,50.0,13.1,51.7,1.7,25.3,210.0
Total male and female,19 to 79 years,Education: lower,0203. Root vegetables,11.7,0.0,0.0,83.8,17.7,65.5,4.0,34.4,225.0
Male,19 to 79 years,Education: lower,0203. Root vegetables,11.7,0.0,0.0,73.3,17.6,65.6,4.0,28.0,230.0
Female,19 to 79 years,Education: lower,0203. Root vegetables,11.7,0.0,0.0,84.1,17.8,65.5,4.6,36.5,210.0
Total male and female,1 to 18 years,Education: intermediate,0203. Root vegetables,7.4,0.0,0.0,52.7,13.0,57.1,2.0,33.0,162.0
Male,1 to 18 years,Education: intermediate,0203. Root vegetables,7.3,0.0,0.0,55.0,12.4,56.7,1.7,28.0,162.0
Female,1 to 18 years,Education: intermediate,0203. Root vegetables,7.6,0.0,0.0,52.7,13.5,57.5,2.2,36.0,162.0
Total male and female,19 to 79 years,Education: intermediate,0203. Root vegetables,12.1,0.0,0.0,81.0,19.9,60.5,4.0,25.0,212.5
Male,19 to 79 years,Education: intermediate,0203. Root vegetables,12.1,0.0,0.0,81.0,21.0,56.6,5.0,22.5,200.0
Female,19 to 79 years,Education: intermediate,0203. Root vegetables,12.2,0.0,0.0,81.0,18.8,65.2,4.0,26.6,228.0
Total male and female,1 to 18 years,Education: higher,0203. Root vegetables,7.9,0.0,0.0,50.0,15.6,50.6,3.2,26.0,178.0
Male,1 to 18 years,Education: higher,0203. Root vegetables,7.6,0.0,0.0,50.0,15.0,51.3,4.1,29.8,172.5
Female,1 to 18 years,Education: higher,0203. Root vegetables,8.1,0.0,0.0,54.0,16.3,49.8,2.3,22.9,178.0
Total male and female,19 to 79 years,Education: higher,0203. Root vegetables,17.1,0.0,0.0,90.0,24.6,69.5,4.7,36.5,211.1
Male,19 to 79 years,Education: higher,0203. Root vegetables,16.4,0.0,0.0,90.1,24.0,67.5,4.7,35.3,211.1
Female,19 to 79 years,Education: higher,0203. Root vegetables,17.9,0.0,0.0,89.0,25.3,71.5,4.7,41.0,216.0
Total male and female,1 to 18 years,Education: lower,0204. Cabbages,11.9,0.0,0.0,68.0,14.9,80.9,2.3,78.0,235.0
Male,1 to 18 years,Education: lower,0204. Cabbages,10.3,0.0,0.0,68.0,12.6,84.7,3.7,78.0,240.0
Female,1 to 18 years,Education: lower,0204. Cabbages,13.5,0.0,0.0,87.0,17.3,77.9,1.2,63.2,193.9
Total male and female,19 to 79 years,Education: lower,0204. Cabbages,22.2,0.0,0.0,121.5,18.5,119.4,4.1,116.7,261.5
Male,19 to 79 years,Education: lower,0204. Cabbages,23.3,0.0,0.0,121.5,18.1,127.4,5.4,115.9,272.0
Female,19 to 79 years,Education: lower,0204. Cabbages,21.4,0.0,0.0,117.5,18.9,113.0,3.7,120.8,240.0
Total male and female,1 to 18 years,Education: intermediate,0204. Cabbages,12.7,0.0,0.0,75.5,15.7,80.9,2.0,78.0,180.0
Male,1 to 18 years,Education: intermediate,0204. Cabbages,12.5,0.0,0.0,75.1,14.4,86.8,1.9,78.0,180.0
Female,1 to 18 years,Education: intermediate,0204. Cabbages,12.9,0.0,0.0,75.5,17.0,75.6,2.3,75.0,180.0
Total male and female,19 to 79 years,Education: intermediate,0204. Cabbages,21.4,0.0,0.0,120.0,19.6,109.4,3.7,100.0,256.5
Male,19 to 79 years,Education: intermediate,0204. Cabbages,23.2,0.0,0.0,123.4,21.3,110.0,3.7,104.7,284.6
Female,19 to 79 years,Education: intermediate,0204. Cabbages,19.5,0.0,0.0,120.0,17.9,108.6,3.7,94.0,240.0
Total male and female,1 to 18 years,Education: higher,0204. Cabbages,14.5,0.0,0.0,82.3,17.9,80.1,3.7,78.0,180.0
Male,1 to 18 years,Education: higher,0204. Cabbages,15.9,0.0,0.0,90.0,18.5,85.6,3.9,78.0,180.0
Female,1 to 18 years,Education: higher,0204. Cabbages,12.9,0.0,0.0,75.2,17.3,74.0,3.5,69.4,180.0
Total male and female,19 to 79 years,Education: higher,0204. Cabbages,19.3,0.0,0.0,112.5,18.1,106.9,3.9,90.7,240.0
Male,19 to 79 years,Education: higher,0204. Cabbages,21.0,0.0,0.0,116.3,18.8,111.7,5.1,101.3,240.0
Female,19 to 79 years,Education: higher,0204. Cabbages,17.4,0.0,0.0,108.0,17.4,101.3,2.9,84.1,240.0
Total male and female,1 to 18 years,Education: lower,0205. Mushrooms,1.9,0.0,0.0,11.0,7.7,24.9,2.2,12.0,81.2
Male,1 to 18 years,Education: lower,0205. Mushrooms,1.5,0.0,0.0,7.8,6.0,24.4,2.2,8.3,50.0
Female,1 to 18 years,Education: lower,0205. Mushrooms,2.4,0.0,0.0,17.4,9.6,25.2,1.4,13.7,81.2
Total male and female,19 to 79 years,Education: lower,0205. Mushrooms,3.4,0.0,0.0,23.0,7.8,44.2,1.5,24.1,144.0
Male,19 to 79 years,Education: lower,0205. Mushrooms,3.9,0.0,0.0,30.0,9.5,43.3,2.2,23.5,144.0
Female,19 to 79 years,Education: lower,0205. Mushrooms,2.9,0.0,0.0,20.5,6.4,45.2,1.5,30.5,138.0
Total male and female,1 to 18 years,Education: intermediate,0205. Mushrooms,0.9,0.0,0.0,5.4,5.7,15.6,1.6,9.3,49.7
Male,1 to 18 years,Education: intermediate,0205. Mushrooms,0.8,0.0,0.0,5.9,5.5,15.4,2.1,9.9,41.3
Female,1 to 18 years,Education: intermediate,0205. Mushrooms,0.9,0.0,0.0,4.8,5.9,15.7,1.3,7.3,61.8
Total male and female,19 to 79 years,Education: intermediate,0205. Mushrooms,2.7,0.0,0.0,17.7,9.8,27.7,2.4,20.7,85.5
Male,19 to 79 years,Education: intermediate,0205. Mushrooms,2.8,0.0,0.0,17.7,10.7,25.9,2.2,14.9,89.6
Female,19 to 79 years,Education: intermediate,0205. Mushrooms,2.6,0.0,0.0,17.6,8.8,30.0,2.4,23.7,78.5
Total male and female,1 to 18 years,Education: higher,0205. Mushrooms,1.2,0.0,0.0,8.9,7.2,17.4,2.0,11.5,54.0
Male,1 to 18 years,Education: higher,0205. Mushrooms,1.0,0.0,0.0,7.7,7.1,14.8,2.0,10.6,34.5
Female,1 to 18 years,Education: higher,0205. Mushrooms,1.5,0.0,0.0,9.7,7.3,20.1,2.1,14.6,62.2
Total male and female,19 to 79 years,Education: higher,0205. Mushrooms,4.3,0.0,0.0,25.2,13.0,32.8,3.5,24.8,116.1
Male,19 to 79 years,Education: higher,0205. Mushrooms,3.9,0.0,0.0,25.0,11.2,35.4,2.7,24.8,116.1
Female,19 to 79 years,Education: higher,0205. Mushrooms,4.8,0.0,0.0,27.6,14.9,30.7,3.5,25.0,110.4
Total male and female,1 to 18 years,Education: lower,0206. Grain and pod vegetables,1.5,0.0,0.0,5.0,3.8,39.6,3.6,20.0,173.3
Male,1 to 18 years,Education: lower,0206. Grain and pod vegetables,0.8,0.0,0.0,3.4,2.8,28.2,6.7,20.0,71.2
Female,1 to 18 years,Education: lower,0206. Grain and pod vegetables,2.4,0.0,0.0,10.0,4.9,46.5,3.6,20.0,173.3
Total male and female,19 to 79 years,Education: lower,0206. Grain and pod vegetables,1.5,0.0,0.0,1.0,3.6,42.3,1.0,13.8,215.0
Male,19 to 79 years,Education: lower,0206. Grain and pod vegetables,1.0,0.0,0.0,0.9,4.0,26.1,1.0,2.0,95.0
Female,19 to 79 years,Education: lower,0206. Grain and pod vegetables,2.0,0.0,0.0,1.5,3.3,58.3,0.9,28.0,265.0
Total male and female,1 to 18 years,Education: intermediate,0206. Grain and pod vegetables,1.7,0.0,0.0,10.0,5.2,32.8,0.9,20.0,120.0
Male,1 to 18 years,Education: intermediate,0206. Grain and pod vegetables,2.0,0.0,0.0,12.8,5.6,37.4,1.2,23.9,120.0
Female,1 to 18 years,Education: intermediate,0206. Grain and pod vegetables,1.3,0.0,0.0,7.3,4.8,27.2,0.9,14.8,80.0
Total male and female,19 to 79 years,Education: intermediate,0206. Grain and pod vegetables,3.0,0.0,0.0,19.0,5.3,55.3,1.6,36.7,200.0
Male,19 to 79 years,Education: intermediate,0206. Grain and pod vegetables,2.4,0.0,0.0,10.4,5.2,46.4,1.8,20.7,200.0
Female,19 to 79 years,Education: intermediate,0206. Grain and pod vegetables,3.7,0.0,0.0,25.0,5.5,64.4,1.1,45.6,200.0
Total male and female,1 to 18 years,Education: higher,0206. Grain and pod vegetables,2.3,0.0,0.0,18.8,5.2,44.0,2.0,35.5,142.5
Male,1 to 18 years,Education: higher,0206. Grain and pod vegetables,1.7,0.0,0.0,11.5,5.1,34.6,1.6,28.3,100.0
Female,1 to 18 years,Education: higher,0206. Grain and pod vegetables,2.9,0.0,0.0,25.0,5.4,53.4,2.0,50.0,160.0
Total male and female,19 to 79 years,Education: higher,0206. Grain and pod vegetables,3.2,0.0,0.0,23.1,6.3,49.9,1.5,32.8,186.5
Male,19 to 79 years,Education: higher,0206. Grain and pod vegetables,3.1,0.0,0.0,18.8,5.7,51.5,1.5,29.2,225.0
Female,19 to 79 years,Education: higher,0206. Grain and pod vegetables,3.4,0.0,0.0,24.8,6.8,48.5,1.6,32.8,120.0
Total male and female,1 to 18 years,Education: lower,0207. Leek,5.5,0.0,0.0,26.5,26.3,21.0,2.2,16.8,55.7
Male,1 to 18 years,Education: lower,0207. Leek,4.4,0.0,0.0,20.6,23.3,19.3,3.4,16.8,40.7
Female,1 to 18 years,Education: lower,0207. Leek,6.6,0.0,0.0,31.6,29.4,22.4,1.8,15.4,60.8
Total male and female,19 to 79 years,Education: lower,0207. Leek,12.4,0.0,3.6,47.5,36.0,34.2,2.6,22.1,95.0
Male,19 to 79 years,Education: lower,0207. Leek,12.4,0.0,3.2,47.2,35.3,34.9,2.6,25.7,94.4
Female,19 to 79 years,Education: lower,0207. Leek,12.4,0.0,4.5,50.3,36.6,33.7,3.1,21.1,106.4
Total male and female,1 to 18 years,Education: intermediate,0207. Leek,5.1,0.0,0.0,25.5,26.2,19.6,1.1,12.3,74.6
Male,1 to 18 years,Education: intermediate,0207. Leek,5.5,0.0,0.0,26.0,26.9,20.1,1.0,12.6,75.1
Female,1 to 18 years,Education: intermediate,0207. Leek,4.8,0.0,0.0,24.5,25.4,19.1,1.3,12.1,58.4
Total male and female,19 to 79 years,Education: intermediate,0207. Leek,12.3,0.0,5.8,47.5,39.0,31.9,3.6,22.2,97.4
