Municipality,Income
Lord,30.8
Heerenveen,28.7
Heerhugowaard,29.8
Heerlen,25.1
Heeze-Leende,34.5
Heiloo,34.5
den Helder,27
Hellendoorn,29.5
Hellevoetsluis,31
Helmond,28
Hendrik-Ido-Ambacht,32.5
Hengelo (O.),27.5
's-Hertogenbosch,30.4
Heumen,33.3
Really,31.6
Hillegom,31.3
Hilvarenbeek,32.9
Hilversum,32.4
Hoeksche Waard,32.9
Hof van Twente,31
The Hogeland,27.3
Dutch Crown,29.7
Hoogeveen,27.1
Horn,29.2
Horst on the Maas,30.4
Wooden,34.6
Houses,33.1
Holly,29.5
IJsselstein,32.8
Kaag and Braassem,33.5
Struggling,27.9
Kapelle,31.1
Katwijk,30.6
Kerkrade,25.2
Koggenland,32.1
Shrinking on the IJssel,31
Krimpenerwaard,31.5
Laarbeek,31
Landerd,32.2
Landgraaf,27.4
Landsmeer,35.6
Langedijk,32.1
Lansingerland,36
Laren (NH.),47.4
Leeuwarden,25.5
Lead,26.7
Leiderdorp,32.6
Leidschendam-Voorburg,33
Lelystad,27.7
Leudal,30.9
Squealed,34.4
Lingewaard,30.7
Lisse,31.7
Lochem,32.7
Pay on Sand,30.7
Lopik,32.5
Loppersum,28
Looser,29.2
Maasdriel,31.7
Maasgouw,31.1
Maassluis,29.2
Maastricht,25.1
Medemblik,30.4
Meerssen,31.8
Meierijstad,31.5
Meppel,28.5
Middelburg (Z.),28.5
Central Delfland,36.1
Central Drenthe,29.4
Central Groningen,26.8
Mill and Saint Hubert,30.4
Moerdijk,30.8
Molenlanden,33
Montferland,28.9
Montfoort,34.2
Mook and Mediator,34
Lower Betuwe,29.3
Nederweert,30.3
Nieuwegein,29.7
Nieuwkoop,34.6
Nijkerk,32.4
Nijmegen,24.7
Nissewaard,29.2
Noardeast-Fryslân,26.7
North Beveland,29.5
Northfield,30.2
Noordoostpolder,28.7
Noordwijk,34
"Nuenen, Gerwen and Nederwetten",35
Nunspeet,30.4
Oegstgeest,39.5
Oirschot,33.5
Oisterwijk,34.9
Oldambt,25.5
Oldebroek,28.5
Oldenzaal,29
Olst-Wijhe,30.2
Ommen,30.2
East Gelre,30.7
Oosterhout,30.5
Ooststellingwerf,27.5
Oostzaan,33.8
Opmeer,30.9
Opsterland,29.2
Oss,29.8
Old IJssel region,28.1
Parent Amstel,36.7
Oudewater,33.7
Overbetuwe,31.4
Papendrecht,30.6
Peel and Maas,30.3
Pekela,24.9
Pijnacker-Nootdorp,35.1
Purmerend,29.2
Wells,31.9
Raalte,29.8
Reimerswaal,28.7
Renkum,32.5
Renswoude,.
Reusel-De Mierden,31.9
Rheden,28.9
Rhenen,31.4
Ridderkerk,29.4
Rijssen-Holten,30.4
Rijswijk (ZH.),30
Roerdalen,29.7
Roermond,27.6
The Round Fens,36.2
Roosendaal,28.7
Rotterdam,26.2
Rozendaal,.
Rucphen,29.3
Schagen,30.7
Scherpenzeel,31
Schiedam,27
Schiermonnikoog,.
Schouwen-Duiveland,30.9
Simple field,28.6
Saint Anthony,31.7
Sint-Michielsgestel,33.9
Sittard-Geleen,27.9
Sliedrecht,29.1
Lock,28.9
Smallingerland,27.3
Soest,33.3
Someren,30.6
Son and Breugel,35.3
City channel,25.7
Staphorst,30.4
Stede Broec,29.1
Steenbergen,28.2
Steenwijkerland,28.1
Stein (L.),29.3
Stichtse Vecht,34.9
Súdwest-Fryslân,28.3
Terneuzen,28.6
Terschelling,.
Texel,29.7
Teylingen,35.1
Tholen,28.7
Tiel,28.3
Tilburg,26.1
Tubbergen,31.4
Twenterand,28
Tynaarlo,32.9
Tytsjerksteradiel,28.7
Uden,30.3
Spirit,33.3
Uithoorn,32.3
Urk,29.2
Utrecht,28.1
Utrechtse Heuvelrug,35.3
Vaals,26.2
Valkenburg aan de Geul,29.6
Valkenswaard,30
Veendam,26.3
Veenendaal,29.1
Veere,33.1
Veldhoven,32.5
Velsen,30.3
Venlo,27.1
Venray,29.9
Vijfheerenlanden,30.8
Vlaardingen,27.6
Vlieland,.
Flushing,26.3
Voerendaal,31.9
Advances,35.5
Voorst,31.9
Vught,37.1
Wading corner,27.4
Waalre,37.4
Waalwijk,29.1
Waddinxveen,31.2
Wageningen,23.2
Wassenaar,49.4
Waterland,35
Weert,29.6
Weesp,31.8
West Betuwe,33
West Maas and Waal,30.8
Westerkwartier,29.3
Westerveld,30.7
Westervoort,28.4
Westerwolde,26.8
Westland,31.6
Weststellingwerf,27.3
Westvoorne,38.1
Wierden,32
Wijchen,31
Wijdemeren,37.2
Wijk bij Duurstede,33
Winterswijk,28.6
Woensdrecht,29.9
Woerden,33.5
The Wolden,31.3
Wormerland,31.8
Woudenberg,32.3
Zaanstad,28.4
Zaltbommel,31.2
Zandvoort,31.5
Zeewolde,30.7
Zeist,34
Zevenaar,28.3
Zoetermeer,30.1
Zoeterwoude,34.1
Zuidplas,33.3
Zundert,30.9
Zutphen,27.5
Blackwater land,30
Zwijndrecht,29.4
Zwolle,28.4
Bron: CBS,
