Municipality,0 to 5 years,5 to 10 years,10 to 15 years,15 to 20 years,20 to 25 years,25 to 30 years,30 to 35 years,35 to 40 years,40 to 45 years,45 to 50 years,50 to 55 years,55 to 60 years,60 to 65 years,65 to 70 years,70 to 75 years,75 to 80 years,80 to 85 years,85 to 90 years,90 to 95 years,95 or older
Bergschenhoek,,,,,,,,,,,,,,,,,,,,
Berkel and Rodenrijs,,,,,,,,,,,,,,,,,,,,
Berkelland,876,1134,1341,1468,1175,1117,934,1005,1198,1687,1893,1749,1610,1602,1400,950,577,278,88,8
Bernheze,725,853,983,1096,922,778,815,826,898,1117,1237,1189,1035,981,808,547,347,181,42,12
Bernisse,,,,,,,,,,,,,,,,,,,,
Best,680,784,952,1077,846,774,816,714,829,1155,1310,1224,975,877,673,517,364,164,29,5
Beuningen,611,634,778,883,699,663,723,687,731,960,1126,1140,966,833,642,413,258,108,25,3
Beverwijk,1155,1181,1133,1256,1138,1430,1435,1257,1272,1660,1563,1500,1190,1103,921,607,391,224,71,11
it bildt,,,,,,,,,,,,,,,,,,,,
De Bilt,1092,1266,1363,1398,950,936,855,1042,1186,1502,1541,1585,1442,1297,1157,757,569,359,147,39
Inner mesh,711,796,878,841,680,664,672,816,904,1131,1125,1064,1014,1004,933,576,354,173,64,9
Bladel,485,531,619,659,591,547,593,568,559,719,856,801,702,604,604,367,262,117,32,4
Blaricum,325,297,333,363,189,197,283,273,271,343,391,359,315,460,416,230,128,58,15,9
Bleiswijk,,,,,,,,,,,,,,,,,,,,
Bloemendaal,538,783,843,844,442,258,246,486,618,851,915,878,779,732,777,514,363,223,71,20
Boarnsterhim,,,,,,,,,,,,,,,,,,,,
Bodegraven,,,,,,,,,,,,,,,,,,,,
Bodegraven-Reeuwijk,970,1058,1106,1163,1001,945,912,909,977,1200,1299,1239,1087,1030,933,567,352,192,42,10
Boekel,253,289,352,390,334,308,296,299,299,395,467,443,328,342,248,170,108,46,14,1
Ten Boer,169,252,261,274,181,146,158,217,218,281,279,254,268,224,220,92,65,38,15,4
Bolsward,,,,,,,,,,,,,,,,,,,,
Borculo,,,,,,,,,,,,,,,,,,,,
Borger-Odoorn,504,607,692,815,628,558,549,575,665,982,1120,1047,979,974,895,517,335,139,53,12
Born,,,,,,,,,,,,,,,,,,,,
Borne,661,735,733,741,560,568,662,680,696,828,848,778,740,735,639,454,258,144,45,6
Borsele,598,678,717,805,647,635,611,622,633,845,900,847,818,704,602,419,252,128,54,11
Boskoop,,,,,,,,,,,,,,,,,,,,
Boxmeer,585,696,887,969,856,829,691,671,765,1028,1225,1223,1105,1088,821,531,345,183,41,3
Boxtel,655,826,954,1001,830,910,792,868,901,1090,1151,1117,1066,1026,921,558,308,158,60,8
Breda,4657,5021,5088,5669,6921,6753,5908,5659,5681,6625,6481,5845,5108,4925,3982,2860,1791,966,331,57
Brederwiede,,,,,,,,,,,,,,,,,,,,
Fissure,,,,,,,,,,,,,,,,,,,,
Brielle,374,381,453,503,452,501,458,394,503,683,712,649,595,573,485,343,182,109,32,
Pants houses,,,,,,,,,,,,,,,,,,,,
Bronckhorst,650,824,1117,1222,919,764,667,715,908,1422,1637,1588,1469,1389,1206,790,487,242,89,19
Rumbling,417,482,602,679,543,449,457,493,536,765,907,838,772,717,656,494,284,141,39,10
Brunssum,580,651,678,748,670,766,781,734,741,1035,1181,1204,1073,979,812,578,378,170,54,5
Bunnik,456,500,500,482,345,289,315,442,459,538,625,596,479,455,397,296,218,101,31,6
Bunschoten,657,734,687,729,710,701,743,690,681,767,735,653,533,539,511,301,153,79,14,3
Neighbors,623,722,800,895,690,656,596,707,754,1106,1154,1104,970,903,754,434,214,105,30,2
Bussum,,,,,,,,,,,,,,,,,,,,
Capelle aan den IJssel,1871,1985,1847,1999,1928,2036,1938,1922,1886,2248,2285,2436,2156,2058,1718,986,549,336,150,21
Castricum,823,859,991,1201,968,910,745,785,927,1259,1452,1414,1195,1173,1139,759,506,285,81,18
Coevorden,773,930,1057,1144,832,815,848,896,956,1352,1444,1393,1308,1286,1084,680,459,226,66,17
Cranendonck,442,518,554,597,608,504,510,530,579,766,824,827,701,778,651,430,240,120,23,5
Crom rows,260,353,353,421,306,291,292,314,386,491,531,511,475,437,427,267,144,66,18,4
Cuijk,595,624,683,817,726,702,606,694,744,977,1076,993,788,792,723,456,256,118,30,8
Culemborg,738,872,933,976,747,783,767,783,871,1136,1103,1079,903,772,675,405,259,126,35,6
Dalfsen,778,791,948,1033,775,721,755,729,737,1075,1125,1070,984,894,768,524,351,180,30,11
Dantumadeel,,,,,,,,,,,,,,,,,,,,
Dantumadiel,484,533,591,614,558,550,498,492,523,684,690,755,662,616,552,364,226,95,22,6
Delft,2275,2179,2046,3277,9232,6786,3783,2963,2636,2925,3134,3122,2,,,,,,,
Delfzijl,510,603,672,757,609,662,596,582,668,964,1027,1014,933,867,834,545,372,192,59,9
Denekamp,,,,,,,,,,,,,,,,,,,,
Deurne,823,837,847,1066,993,894,907,867,873,1089,1314,1338,1182,1085,869,571,408,167,41,9
Deventer,2561,2840,3073,3164,3015,3163,3078,3221,3266,3874,3795,3461,2836,2600,2184,1439,955,520,200,32
Didam,,,,,,,,,,,,,,,,,,,,
Diemen,775,690,677,834,1383,1199,905,851,828,834,922,947,846,704,538,352,243,136,49,12
Diepenheim,,,,,,,,,,,,,,,,,,,,
Dinkelland,596,670,886,1012,856,766,655,621,701,942,1088,1070,973,853,701,476,349,152,41,9
Dinxperlo,,,,,,,,,,,,,,,,,,,,
Dirksland,,,,,,,,,,,,,,,,,,,,
Dead worth,,,,,,,,,,,,,,,,,,,,
Doesburg,197,277,329,380,303,226,244,275,289,448,478,441,406,406,391,242,129,60,15,3
Doetinchem,1429,1500,1727,1848,1530,1606,1579,1568,1704,2250,2274,2118,1925,1833,1453,984,643,320,124,19
Dongen,623,660,741,864,717,711,754,700,742,1003,1052,951,886,858,736,426,286,124,33,9
Dongeradeel,570,698,733,786,709,678,594,646,649,913,892,854,802,738,662,472,298,135,42,11
Thorn,,,,,,,,,,,,,,,,,,,,
Dordrecht,3059,3318,3157,3647,3613,3861,3854,3700,3562,4424,4642,4147,3621,3242,2857,1773,1195,625,238,42
Dchterland,488,559,576,677,572,503,523,536,551,737,750,726,677,693,615,359,185,91,32,5
Driebergen-Rijsenburg,,,,,,,,,,,,,,,,,,,,
Drimming,607,707,655,875,745,737,686,710,761,1046,1118,1062,1058,987,822,510,271,158,43,10
Dronten,986,1255,1299,1574,1427,1217,1181,1109,1118,1565,1657,1493,1225,1066,925,629,425,214,74,14
Druten,455,498,612,669,487,521,490,460,578,771,798,726,654,582,464,287,186,62,23,2
Duiven,566,663,779,1006,707,577,636,601,696,978,1266,1092,910,752,582,328,262,122,31,7
Echt,,,,,,,,,,,,,,,,,,,,
Echteld,,,,,,,,,,,,,,,,,,,,
Echt-Susteren,620,667,742,861,802,819,863,812,852,1166,1377,1405,1323,1292,1027,708,376,192,57,8
Edam-Volendam,881,965,1165,1283,1033,977,875,989,1146,1398,1350,1308,1173,1203,1042,691,311,155,40,8
Ede,3387,3439,3792,4058,3781,3688,3597,3243,3258,3851,4048,3839,3490,3018,2500,1705,1097,678,191,29
Eemnes,218,244,297,347,234,160,205,189,283,367,397,365,304,290,268,154,92,48,13,3
Eemsmond,334,400,486,515,427,393,375,394,427,617,630,637,576,567,520,323,182,95,31,8
Eersel,433,481,503,580,595,505,479,475,536,652,755,858,714,630,491,368,270,127,30,5
Egmond,,,,,,,,,,,,,,,,,,,,
Eibergen,,,,,,,,,,,,,,,,,,,,
Eijsden,,,,,,,,,,,,,,,,,,,,
Eijsden-Margraten,603,555,656,825,653,679,681,625,589,837,1026,1062,1025,957,839,573,375,185,40,7
Eindhoven,5590,5777,5570,6736,10606,11215,9583,8548,7659,8098,7760,7080,6019,5366,4734,3233,2320,1238,392,69
Elburg,720,777,760,828,620,653,670,665,676,871,854,760,628,641,664,343,221,117,42,2
Elst,,,,,,,,,,,,,,,,,,,,
Emmen,2337,2801,3107,3535,2780,2850,2812,2900,3099,4102,4221,4058,3749,3685,3136,2039,1286,598,200,36
Enkhuizen,480,541,534,545,525,546,547,558,584,673,713,630,609,615,536,331,187,99,30,7
Enschede,3981,4225,4317,5246,7970,6471,5352,4894,4990,5799,5528,5082,4270,4070,3690,2363,1468,687,205,45
Epe,772,848,950,1058,829,818,823,808,885,1161,1285,1282,1122,1133,1094,698,451,217,78,11
Ermelo,654,682,802,954,812,761,716,654,701,924,1012,980,903,816,826,532,342,172,56,12
Etten-Leur,1107,1277,1378,1279,1106,1140,1229,1341,1386,1719,1661,1535,1334,1387,1152,709,461,203,62,6
Ferwerderadiel,228,274,304,297,199,208,255,244,262,322,344,335,312,301,248,154,87,33,16,1
Franekeradeel,,,,,,,,,,,,,,,,,,,,
De Friese Meren,,,,,,,,,,,,,,,,,,,,
De Fryske Marren,1240,1485,1661,1743,1368,1335,1232,1390,1462,1995,2066,1875,1786,1767,1633,995,603,313,105,14
Gaasterlân-Sleat,,,,,,,,,,,,,,,,,,,,
Geertruidenberg,515,616,600,645,538,597,622,641,642,860,842,794,747,705,591,374,230,100,32,4
Geldermalsen,694,815,884,1000,761,679,689,667,792,1062,1063,1042,835,846,685,420,235,100,36,3
Geldrop,,,,,,,,,,,,,,,,,,,,
Geldrop-Mierlo,1028,1031,1146,1228,1051,1024,1074,1120,1175,1461,1489,1501,1285,1265,1057,734,481,242,61,12
Geleen,,,,,,,,,,,,,,,,,,,,
Gemert-Bakel,754,871,844,907,895,963,942,986,843,1101,1199,1213,1134,983,737,488,306,160,35,3
Gendringen,,,,,,,,,,,,,,,,,,,,
Gendt,,,,,,,,,,,,,,,,,,,,
Genemuiden,,,,,,,,,,,,,,,,,,,,
Gennep,386,443,498,526,407,425,408,514,505,635,672,719,673,650,529,351,218,116,28,3
Giessenlanden,372,439,474,583,437,357,338,393,394,574,567,543,506,501,395,249,154,65,30,1
Gilze en Rijen,648,756,787,827,733,736,718,738,787,1039,1016,997,866,896,712,466,285,127,40,6
Goedereede,,,,,,,,,,,,,,,,,,,,
Goeree-Overflakkee,1289,1287,1486,1598,1317,1267,1339,1318,1462,1745,1937,1752,1669,1562,1361,896,566,292,114,23
Goes,868,942,1047,1143,960,1015,1028,1048,1118,1401,1453,1325,1236,1193,1043,736,499,256,121,25
Goirle,641,742,738,731,542,477,620,679,696,829,829,842,863,886,704,447,285,110,45,1
Gooise Meren,1582,1920,2098,1904,1135,1125,1188,1479,1809,2223,2265,2083,1557,1534,1400,945,745,409,174,30
Goor,,,,,,,,,,,,,,,,,,,,
Gorinchem,1027,1047,1081,1170,1021,1124,1122,1100,1144,1434,1406,1268,1022,942,824,575,346,180,56,18
Gorssel,,,,,,,,,,,,,,,,,,,,
Gouda,2013,2024,2201,2198,2201,2463,2140,2186,2170,2688,2664,2467,2214,2047,1673,1115,702,364,132,23
Graafstroom,,,,,,,,,,,,,,,,,,,,
Graft-De Rijp,,,,,,,,,,,,,,,,,,,,
Gramsbergen,,,,,,,,,,,,,,,,,,,,
Grave,284,369,321,416,368,334,318,340,360,474,514,491,460,434,365,245,140,64,19,4
's-Graveland,,,,,,,,,,,,,,,,,,,,
's-Gravendeel,,,,,,,,,,,,,,,,,,,,
's-Gravenhage,16446,15972,14997,15204,17074,20701,20332,20297,18879,20756,19080,16429,13655,11938,9583,6008,3651,2012,775,186
's-Gravenzande,,,,,,,,,,,,,,,,,,,,
Groenlo,,,,,,,,,,,,,,,,,,,,
Groesbeek,,,,,,,,,,,,,,,,,,,,
Groningen,4413,4172,3858,5996,16463,12539,8475,6340,5491,5956,5647,5331,4992,4293,3242,1849,1290,681,222,49
Grootegast,301,358,425,478,357,310,309,323,374,535,522,439,382,359,303,212,111,63,14,2
Grubbenvorst,,,,,,,,,,,,,,,,,,,,
Gulpen-Wittem,267,253,327,384,332,361,336,327,335,485,594,684,650,581,559,340,222,105,31,8
Haaksbergen,500,668,742,825,631,592,595,608,648,970,1012,891,852,818,736,557,327,142,32,4
Haaren,274,343,391,494,401,365,295,317,389,545,656,599,547,542,454,292,163,76,15,1
Haarlem,4796,4762,4316,4111,4155,5709,5975,5730,5619,6030,5701,5096,4292,3945,3377,2136,1365,736,275,63
Haarlemmerliede en Spaarnwoude,160,157,133,201,199,136,183,134,152,238,238,250,236,194,138,85,62,26,7,
Haarlemmermeer,3643,4563,5200,5154,4211,3988,3903,4221,4775,6344,6220,5370,4363,4025,3325,1975,1210,560,190,26
Haelen,,,,,,,,,,,,,,,,,,,,
Halderberge,727,682,805,896,741,753,787,815,840,1134,1220,1195,1041,1052,966,620,363,165,54,9
Den Ham,,,,,,,,,,,,,,,,,,,,
Hardenberg,1709,1890,1995,2220,1832,1766,1740,1787,1818,2286,2398,2195,1965,1729,1446,931,594,293,83,10
Harderwijk,1339,1512,1482,1657,1246,1377,1446,1476,1511,1777,1656,1550,1420,1229,1030,680,428,231,76,15
Hardinxveld-Giessendam,572,595,631,620,622,621,550,490,515,617,662,562,450,468,417,263,188,100,34,10
Haren,521,600,590,641,364,310,384,552,577,642,697,692,638,624,625,434,302,186,83,16
Harenkarspel,,,,,,,,,,,,,,,,,,,,
Harlingen,331,436,535,586,393,382,377,415,452,589,596,557,532,535,555,360,206,75,31,6
Harmelen,,,,,,,,,,,,,,,,,,,,
Hasselt,,,,,,,,,,,,,,,,,,,,
Hattem,360,350,393,415,306,277,317,316,342,451,468,419,379,405,332,219,166,72,17,4
Heel,,,,,,,,,,,,,,,,,,,,
Heemskerk,906,1026,1133,1243,1078,1116,977,1012,1056,1377,1518,1629,1272,1149,1002,726,551,284,91,11
Heemstede,698,841,837,861,435,407,457,678,770,955,926,980,905,843,836,571,413,244,82,19
Heerde,427,547,532,608,436,438,443,469,538,724,685,725,656,595,596,391,214,113,28,10
Heerenveen,1266,1405,1540,1674,1301,1335,1321,1380,1539,2005,1976,1739,1631,1491,1364,968,554,292,116,26
Heerhugowaard,1653,1808,1824,1910,1593,1718,1738,1853,1966,2305,2049,1740,1509,1424,1477,892,451,218,65,14
Heerjansdam,,,,,,,,,,,,,,,,,,,,
Heerlen,1792,1922,1996,2309,2388,2799,2752,2561,2374,3093,3533,3588,3243,2934,2294,1679,1063,552,188,40
Heeze-Leende,353,415,457,491,428,394,371,399,430,577,649,664,631,561,472,341,219,128,40,8
Heiloo,479,617,698,826,547,451,440,530,615,879,937,872,761,797,719,526,417,231,65,14
Heino,,,,,,,,,,,,,,,,,,,,
Helden,,,,,,,,,,,,,,,,,,,,
Den Helder,1330,1402,1469,1568,1601,1621,1559,1525,1555,2022,2143,2094,2045,1869,1648,1019,644,322,98,16
Hellendoorn,841,997,1198,1160,919,936,984,972,1117,1269,1317,1341,1331,1164,1003,674,371,187,70,9
Hellevoetsluis,897,1083,1149,1133,1095,1083,1085,1181,1204,1577,1505,1457,1489,1392,1212,645,372,165,58,11
Helmond,2379,2745,2946,3035,2539,2768,2764,2852,3066,3868,3804,3202,2693,2470,2077,1360,768,362,107,14
Hendrik-Ido-Ambacht,1059,1119,1061,988,815,821,961,969,1031,1088,1103,968,825,699,657,423,281,160,47,8
Hengelo (Gld.),,,,,,,,,,,,,,,,,,,,
Hengelo (O.),1905,2129,2554,2631,2360,2516,2468,2400,2612,3152,3016,2900,2557,2376,1923,1292,886,498,181,25
's-Hertogenbosch,4121,4226,4061,4313,4658,5408,5286,5014,4821,5868,5679,5390,4625,4424,3441,2158,1345,697,215,38
Heteren,,,,,,,,,,,,,,,,,,,,
Heumen,350,433,516,618,427,308,325,366,434,626,690,697,630,565,481,351,215,109,26,2
Heusden,1089,1196,1260,1425,1285,1177,1189,1194,1336,1682,1758,1677,1540,1397,1120,801,500,224,57,6
Heythuysen,,,,,,,,,,,,,,,,,,,,
Hillegom,532,611,632,644,515,584,680,684,668,824,835,846,727,679,597,367,240,130,32,11
Hilvarenbeek,298,404,502,517,417,387,358,389,424,590,661,646,560,496,482,330,176,77,13,4
Hilversum,2448,2604,2669,2640,2378,2871,2877,2915,2984,3510,3305,2876,2396,2236,2100,1375,942,589,186,36
Hoeksche Waard,,,,,,,,,,,,,,,,,,,,
Hof van Twente,746,889,1087,1181,899,798,800,823,976,1375,1430,1274,1150,1190,1142,806,501,232,67,12
Het Hogeland,,,,,,,,,,,,,,,,,,,,
Hollands Kroon,1139,1336,1504,1649,1334,1218,1348,1270,1350,1851,1970,1801,1667,1560,1352,902,547,259,76,16
Holten,,,,,,,,,,,,,,,,,,,,
Hontenisse,,,,,,,,,,,,,,,,,,,,
Hoogeveen,1447,1705,1717,1845,1546,1597,1665,1712,1721,1986,1994,1853,1786,1606,1563,998,655,320,107,21
Hoogezand-Sappemeer,,,,,,,,,,,,,,,,,,,,
Hoorn,1997,2148,2134,2372,2009,2172,2307,2361,2201,2765,2592,2350,2203,2231,1953,1096,592,323,103,16
Horst,,,,,,,,,,,,,,,,,,,,
Horst aan de Maas,962,1066,1207,1386,1231,1202,1158,1078,1167,1667,1707,1758,1576,1405,1095,800,513,240,50,13
Houten,1410,1769,1920,1729,1296,1171,1351,1363,1594,1965,1813,2038,1849,1294,861,476,332,156,70,7
Huissen,,,,,,,,,,,,,,,,,,,,
Huizen,1021,1104,1267,1329,1044,1027,922,965,1077,1486,1545,1623,1564,1402,1145,738,437,263,66,10
Hulst,542,584,739,758,595,674,659,729,774,1127,1215,1154,1059,970,912,572,381,192,62,12
Hummelo en Keppel,,,,,,,,,,,,,,,,,,,,
Hunsel,,,,,,,,,,,,,,,,,,,,
IJsselham,,,,,,,,,,,,,,,,,,,,
IJsselmuiden,,,,,,,,,,,,,,,,,,,,
IJsselstein,895,1014,1240,1228,897,845,835,938,1107,1439,1472,1264,972,832,760,448,296,150,51,7
Jacobswoude,,,,,,,,,,,,,,,,,,,,
Kaag en Braassem,654,725,788,911,729,736,688,693,779,1001,1079,1075,971,911,746,471,293,153,44,8
Kampen,1782,1856,1830,1893,1591,1740,1723,1650,1680,1920,1807,1596,1487,1351,1128,756,477,233,78,16
Kapelle,338,441,452,445,316,297,344,358,362,478,451,441,431,391,342,216,130,86,21,8
Katwijk,1967,2136,2172,2145,1984,2225,1999,2001,1892,2277,2325,2113,1878,1765,1476,955,565,278,96,13
Kerkrade,888,976,1009,1056,1157,1221,1317,1320,1240,1672,1944,1967,1914,1819,1377,974,650,280,96,14
Kessel,,,,,,,,,,,,,,,,,,,,
Kesteren,,,,,,,,,,,,,,,,,,,,
Koggenland,588,626,752,827,655,603,590,588,652,902,869,902,767,728,645,389,213,97,36,7
Kollumerland en Nieuwkruisland,343,399,399,438,369,365,349,385,378,517,499,515,431,407,330,212,155,57,20,2
Korendijk,308,279,376,336,314,261,268,262,285,437,442,424,402,375,325,202,146,62,20,1
Krimpen aan den IJssel,826,851,916,1007,813,704,749,710,784,966,976,938,860,842,861,631,427,226,65,12
Krimpenerwaard,1436,1589,1711,1863,1635,1602,1479,1404,1563,2011,2151,1957,1758,1686,1588,1013,649,329,94,21
Laarbeek,480,620,675,773,566,623,555,622,615,872,869,869,818,794,666,420,269,102,32,2
Landerd,363,444,448,528,484,386,404,366,403,543,645,642,583,582,437,274,179,91,23,2
Landgraaf,753,833,851,986,874,962,1072,1002,924,1333,1542,1682,1560,1427,1217,748,471,250,62,2
Landsmeer,307,333,327,357,263,255,247,292,353,425,446,421,404,348,309,192,145,67,17,3
Langedijk,717,770,901,975,780,697,726,788,827,1027,1033,976,977,955,790,468,272,108,36,11
Lansingerland,2137,2429,2262,2096,1505,1245,1589,1947,2199,2691,2457,1946,1583,1405,1179,776,508,277,75,11
Laren (NH.),255,300,381,364,157,132,139,232,300,354,439,422,345,384,409,259,194,150,51,7
Leek,490,542,602,681,467,443,494,515,584,751,787,714,706,597,556,376,232,107,39,9
Leerdam,582,578,646,712,637,628,618,633,597,787,733,659,662,591,523,362,229,98,50,11
Leersum,,,,,,,,,,,,,,,,,,,,
Leeuwarden,3135,3267,3234,3663,5097,4708,4022,3876,3568,4259,4217,3861,3831,3398,2883,1752,1174,619,222,37
Leeuwarderadeel,,,,,,,,,,,,,,,,,,,,
Leiden,2900,2861,2698,3361,6509,6248,4556,3861,3700,3939,4062,3751,3250,3012,2451,1451,909,498,180,26
Leiderdorp,698,770,811,894,753,617,644,687,800,1013,1054,974,858,802,767,467,324,164,57,15
Leidschendam,,,,,,,,,,,,,,,,,,,,
Leidschendam-Voorburg,2078,2098,2043,1959,1654,1941,2097,2332,2390,2563,2508,2528,2356,2319,2035,1403,988,560,185,36
Lelystad,2253,2530,2605,2570,2150,2264,2385,2523,2654,2984,2803,2388,2410,2417,2013,1022,503,233,94,14
Lemsterland,,,,,,,,,,,,,,,,,,,,
Leudal,686,817,962,1200,999,927,849,906,964,1277,1604,1553,1424,1367,1114,728,477,242,73,11
Leusden,748,909,944,1013,740,664,726,772,851,1110,1106,1125,1091,960,833,511,301,142,65,8
Lichtenvoorde,,,,,,,,,,,,,,,,,,,,
Liemeer,,,,,,,,,,,,,,,,,,,,
De Lier,,,,,,,,,,,,,,,,,,,,
Liesveld,,,,,,,,,,,,,,,,,,,,
Limmen,,,,,,,,,,,,,,,,,,,,
Lingewaal,286,300,371,364,303,279,284,303,308,445,465,403,383,365,329,187,105,54,14,4
Lingewaard,1062,1336,1507,1631,1113,1053,1060,1280,1463,1797,1827,1770,1654,1644,1262,797,476,205,60,12
Lisse,573,630,684,682,606,594,609,641,614,831,866,839,750,731,633,416,301,149,34,9
Lith,,,,,,,,,,,,,,,,,,,,
Littenseradiel,,,,,,,,,,,,,,,,,,,,
Lochem,662,765,1011,1149,700,630,644,731,846,1207,1350,1364,1295,1226,1166,839,543,292,99,16
Loenen,,,,,,,,,,,,,,,,,,,,
Loon op Zand,529,567,673,691,615,630,587,626,651,906,886,884,844,788,676,467,288,120,37,4
Loosdrecht,,,,,,,,,,,,,,,,,,,,
Lopik,387,399,534,573,504,405,365,351,406,619,627,532,442,449,307,217,128,43,15,
Loppersum,201,287,295,292,262,229,225,242,253,393,398,421,417,361,319,175,110,40,17,2
Losser,491,614,688,731,566,563,573,600,616,866,860,841,907,851,674,492,261,138,28,6
Maarn,,,,,,,,,,,,,,,,,,,,
Maarssen,,,,,,,,,,,,,,,,,,,,
Maartensdijk,,,,,,,,,,,,,,,,,,,,
Maasbracht,,,,,,,,,,,,,,,,,,,,
Maasbree,,,,,,,,,,,,,,,,,,,,
Maasdonk,,,,,,,,,,,,,,,,,,,,
Maasdriel,639,660,776,816,652,683,691,678,732,972,1015,1014,898,766,611,362,244,99,31,7
Maasgouw,457,455,560,719,587,573,615,578,577,881,1025,1013,1047,955,794,532,332,163,48,9
