Municipality,Waste generated
Reusel-De Mierden,350
Rheden,533
Rhenen,475
Ridderkerk,500
Rijnsburg,
Rijnwaarden,
Rijnwoude,
Rijssen,
Rijssen-Holten,644
Rijswijk (ZH.),.
Roerdalen,586
Roermond,530
Roggel en Neer,
De Ronde Venen,512
Roosendaal,543
Rotterdam,414
Rozenburg,
Rozendaal,521
Rucphen,561
Ruurlo,
Sas van Gent,
Sassenheim,
Schagen,581
Scheemda,
Schermer,
Scherpenzeel,428
Schiedam,436
Schiermonnikoog,1233
Schijndel,
Schinnen,.
Schipluiden,
Schoonhoven,
Schouwen-Duiveland,.
Sevenum,
Simpelveld,483
Sint Anthonis,627
Sint-Michielsgestel,414
Sint-Oedenrode,
Sittard-Geleen,454
Skarsterlân,
Sliedrecht,521
Slochteren,
Sluis,965
Sluis-Aardenburg,
Smallingerland,623
Sneek,
Soest,541
Someren,466
Son en Breugel,612
Spijkenisse,
Stadskanaal,631
Staphorst,463
Stede Broec,582
Steenbergen,566
Steenderen,
Steenwijk,
Steenwijkerland,442
Stein (L.),456
Stichtse Vecht,469
Strijen,558
Súdwest-Fryslân,617
Susteren,
Swalmen,
Terneuzen,681
Terschelling,578
Texel,.
Teylingen,472
Tholen,.
Thorn,
Tiel,435
Tilburg,407
Tubbergen,.
Twenterand,553
Tynaarlo,379
Tytsjerksteradiel,680
Ubbergen,
Uden,494
Uitgeest,498
Uithoorn,.
Urk,394
Utrecht,385
Utrechtse Heuvelrug,549
Vaals,481
Valkenburg (ZH.),
Valkenburg aan de Geul,515
Valkenswaard,567
Veendam,584
Veenendaal,480
Veere,917
Veghel,
Veldhoven,503
Velsen,558
Venhuizen,
Venlo,506
Venray,504
Vianen,538
Vlaardingen,475
Vlagtwedde,
Vlieland,1310
Vlissingen,614
Vlist,
Voerendaal,477
Voorburg,
Voorhout,
Voorschoten,447
Voorst,.
Vorden,
Vriezenveen,
Vught,375
Waadhoeke,608
Waalre,532
Waalwijk,406
Waddinxveen,.
Wageningen,461
Warmond,
Warnsveld,
Wassenaar,.
Wateringen,
Waterland,596
Weert,599
Weesp,509
Wehl,
Werkendam,546
Wervershoof,
West Maas en Waal,545
Wester-Koggenland,
Westerveld,716
Westervoort,493
Westerwolde,669
Westland,.
Weststellingwerf,681
Westvoorne,737
Wierden,436
Wieringen,
Wieringermeer,
Wijchen,518
Wijdemeren,509
Wijk bij Duurstede,539
Winschoten,
Winsum,.
Winterswijk,498
Wisch,
Woensdrecht,704
Woerden,426
Wognum,
De Wolden,723
Wormerland,504
Woudenberg,424
Woudrichem,444
Wûnseradiel,
Wymbritseradiel,
Zaanstad,499
Zaltbommel,474
Zandvoort,446
Zederik,594
Zeevang,
Zeewolde,546
Zeist,520
Zelhem,
Zevenaar,536
Zevenhuizen-Moerkapelle,
Zijpe,
Zoetermeer,432
Zoeterwoude,417
Zuidhorn,.
Zuidplas,456
Zundert,610
Zutphen,384
Zwartewaterland,322
Zwijndrecht,526
Zwolle,483
Bron: CBS,
