"TIME","GEO","HHTYP","INDIC_IL","UNIT","Value","Flag and Footnotes"
"1995","Greece","Total","Median equivalised net income","Purchasing power standard (PPS)","6,702",""
"1995","Spain","Total","Median equivalised net income","Euro","6,170",""
"1995","Spain","Total","Median equivalised net income","National currency","5,893",""
"1995","Spain","Total","Median equivalised net income","Purchasing power standard (PPS)","7,367",""
"1995","France","Total","Median equivalised net income","Euro","12,653",""
"1995","France","Total","Median equivalised net income","National currency","12,697",""
"1995","France","Total","Median equivalised net income","Purchasing power standard (PPS)","11,523",""
"1995","Croatia","Total","Median equivalised net income","Euro",":",""
"1995","Croatia","Total","Median equivalised net income","National currency",":",""
"1995","Croatia","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"1995","Italy","Total","Median equivalised net income","Euro","7,698",""
"1995","Italy","Total","Median equivalised net income","National currency","7,614",""
"1995","Italy","Total","Median equivalised net income","Purchasing power standard (PPS)","8,990",""
"1995","Cyprus","Total","Median equivalised net income","Euro",":",""
"1995","Cyprus","Total","Median equivalised net income","National currency",":",""
"1995","Cyprus","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"1995","Latvia","Total","Median equivalised net income","Euro",":",""
"1995","Latvia","Total","Median equivalised net income","National currency",":",""
"1995","Latvia","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"1995","Lithuania","Total","Median equivalised net income","Euro",":",""
"1995","Lithuania","Total","Median equivalised net income","National currency",":",""
"1995","Lithuania","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"1995","Luxembourg","Total","Median equivalised net income","Euro","18,673",""
"1995","Luxembourg","Total","Median equivalised net income","National currency","18,356",""
"1995","Luxembourg","Total","Median equivalised net income","Purchasing power standard (PPS)","18,610",""
"1995","Hungary","Total","Median equivalised net income","Euro",":",""
"1995","Hungary","Total","Median equivalised net income","National currency",":",""
"1995","Hungary","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"1995","Malta","Total","Median equivalised net income","Euro",":",""
"1995","Malta","Total","Median equivalised net income","National currency",":",""
"1995","Malta","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"1995","Netherlands","Total","Median equivalised net income","Euro","11,351",""
"1995","Netherlands","Total","Median equivalised net income","National currency","11,117",""
"1995","Netherlands","Total","Median equivalised net income","Purchasing power standard (PPS)","10,749",""
"1995","Austria","Total","Median equivalised net income","Euro","13,971",""
"1995","Austria","Total","Median equivalised net income","National currency","13,747",""
"1995","Austria","Total","Median equivalised net income","Purchasing power standard (PPS)","12,695",""
"1995","Poland","Total","Median equivalised net income","Euro",":",""
"1995","Poland","Total","Median equivalised net income","National currency",":",""
"1995","Poland","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"1995","Portugal","Total","Median equivalised net income","Euro","4,337",""
"1995","Portugal","Total","Median equivalised net income","National currency","4,259",""
"1995","Portugal","Total","Median equivalised net income","Purchasing power standard (PPS)","6,242",""
"1995","Romania","Total","Median equivalised net income","Euro",":",""
"1995","Romania","Total","Median equivalised net income","National currency",":",""
"1995","Romania","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"1995","Slovenia","Total","Median equivalised net income","Euro",":",""
"1995","Slovenia","Total","Median equivalised net income","National currency",":",""
"1995","Slovenia","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"1995","Slovakia","Total","Median equivalised net income","Euro",":",""
"1995","Slovakia","Total","Median equivalised net income","National currency",":",""
"1995","Slovakia","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"1995","Finland","Total","Median equivalised net income","Euro",":",""
"1995","Finland","Total","Median equivalised net income","National currency",":",""
"1995","Finland","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"1995","Sweden","Total","Median equivalised net income","Euro",":",""
"1995","Sweden","Total","Median equivalised net income","National currency",":",""
"1995","Sweden","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"1995","United Kingdom","Total","Median equivalised net income","Euro","10,422",""
"1995","United Kingdom","Total","Median equivalised net income","National currency","8,086",""
"1995","United Kingdom","Total","Median equivalised net income","Purchasing power standard (PPS)","11,568",""
"1995","Iceland","Total","Median equivalised net income","Euro",":",""
"1995","Iceland","Total","Median equivalised net income","National currency",":",""
"1995","Iceland","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"1995","Norway","Total","Median equivalised net income","Euro",":",""
"1995","Norway","Total","Median equivalised net income","National currency",":",""
"1995","Norway","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"1995","Switzerland","Total","Median equivalised net income","Euro",":",""
"1995","Switzerland","Total","Median equivalised net income","National currency",":",""
"1995","Switzerland","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"1995","Montenegro","Total","Median equivalised net income","Euro",":",""
"1995","Montenegro","Total","Median equivalised net income","National currency",":",""
"1995","Montenegro","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"1995","North Macedonia","Total","Median equivalised net income","Euro",":",""
"1995","North Macedonia","Total","Median equivalised net income","National currency",":",""
"1995","North Macedonia","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"1995","Serbia","Total","Median equivalised net income","Euro",":",""
"1995","Serbia","Total","Median equivalised net income","National currency",":",""
"1995","Serbia","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"1995","Turkey","Total","Median equivalised net income","Euro",":",""
"1995","Turkey","Total","Median equivalised net income","National currency",":",""
"1995","Turkey","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"1996","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Total","Median equivalised net income","Euro",":",""
"1996","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Total","Median equivalised net income","National currency",":",""
"1996","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"1996","European Union - 27 countries (from 2020)","Total","Median equivalised net income","Euro",":",""
"1996","European Union - 27 countries (from 2020)","Total","Median equivalised net income","National currency",":",""
"1996","European Union - 27 countries (from 2020)","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"1996","European Union - 28 countries (2013-2020)","Total","Median equivalised net income","Euro",":",""
"1996","European Union - 28 countries (2013-2020)","Total","Median equivalised net income","National currency",":",""
"1996","European Union - 28 countries (2013-2020)","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"1996","European Union - 27 countries (2007-2013)","Total","Median equivalised net income","Euro",":",""
"1996","European Union - 27 countries (2007-2013)","Total","Median equivalised net income","National currency",":",""
"1996","European Union - 27 countries (2007-2013)","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"1996","European Union - 15 countries (1995-2004)","Total","Median equivalised net income","Euro","10,898","e"
"1996","European Union - 15 countries (1995-2004)","Total","Median equivalised net income","National currency",":",""
"1996","European Union - 15 countries (1995-2004)","Total","Median equivalised net income","Purchasing power standard (PPS)","10,820","e"
"1996","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Total","Median equivalised net income","Euro",":",""
"1996","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Total","Median equivalised net income","National currency",":",""
"1996","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"1996","Euro area - 19 countries  (from 2015)","Total","Median equivalised net income","Euro",":",""
"1996","Euro area - 19 countries  (from 2015)","Total","Median equivalised net income","National currency",":",""
"1996","Euro area - 19 countries  (from 2015)","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"1996","Euro area - 18 countries (2014)","Total","Median equivalised net income","Euro",":",""
"1996","Euro area - 18 countries (2014)","Total","Median equivalised net income","National currency",":",""
"1996","Euro area - 18 countries (2014)","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"1996","Belgium","Total","Median equivalised net income","Euro","14,111",""
"1996","Belgium","Total","Median equivalised net income","National currency","13,485",""
"1996","Belgium","Total","Median equivalised net income","Purchasing power standard (PPS)","12,912",""
"1996","Bulgaria","Total","Median equivalised net income","Euro",":",""
"1996","Bulgaria","Total","Median equivalised net income","National currency",":",""
"1996","Bulgaria","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"1996","Czechia","Total","Median equivalised net income","Euro",":",""
"1996","Czechia","Total","Median equivalised net income","National currency",":",""
"1996","Czechia","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"1996","Denmark","Total","Median equivalised net income","Euro",":",""
"1996","Denmark","Total","Median equivalised net income","National currency",":",""
"1996","Denmark","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"1996","Germany (until 1990 former territory of the FRG)","Total","Median equivalised net income","Euro","14,523",""
"1996","Germany (until 1990 former territory of the FRG)","Total","Median equivalised net income","National currency","13,913",""
"1996","Germany (until 1990 former territory of the FRG)","Total","Median equivalised net income","Purchasing power standard (PPS)","12,669",""
"1996","Estonia","Total","Median equivalised net income","Euro",":",""
"1996","Estonia","Total","Median equivalised net income","National currency",":",""
"1996","Estonia","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"1996","Ireland","Total","Median equivalised net income","Euro","8,244",""
"1996","Ireland","Total","Median equivalised net income","National currency","8,536",""
"1996","Ireland","Total","Median equivalised net income","Purchasing power standard (PPS)","9,561",""
"1996","Greece","Total","Median equivalised net income","Euro","5,466",""
"1996","Greece","Total","Median equivalised net income","National currency","4,919",""
"1996","Greece","Total","Median equivalised net income","Purchasing power standard (PPS)","7,002",""
"1996","Spain","Total","Median equivalised net income","Euro","6,247",""
"1996","Spain","Total","Median equivalised net income","National currency","6,120",""
"1996","Spain","Total","Median equivalised net income","Purchasing power standard (PPS)","7,548",""
"1996","France","Total","Median equivalised net income","Euro","13,189",""
"1996","France","Total","Median equivalised net income","National currency","13,120",""
"1996","France","Total","Median equivalised net income","Purchasing power standard (PPS)","11,831",""
"1996","Croatia","Total","Median equivalised net income","Euro",":",""
"1996","Croatia","Total","Median equivalised net income","National currency",":",""
"1996","Croatia","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"1996","Italy","Total","Median equivalised net income","Euro","7,354",""
"1996","Italy","Total","Median equivalised net income","National currency","8,090",""
"1996","Italy","Total","Median equivalised net income","Purchasing power standard (PPS)","9,236",""
"1996","Cyprus","Total","Median equivalised net income","Euro",":",""
"1996","Cyprus","Total","Median equivalised net income","National currency",":",""
"1996","Cyprus","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"1996","Latvia","Total","Median equivalised net income","Euro",":",""
"1996","Latvia","Total","Median equivalised net income","National currency",":",""
"1996","Latvia","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"1996","Lithuania","Total","Median equivalised net income","Euro",":",""
"1996","Lithuania","Total","Median equivalised net income","National currency",":",""
"1996","Lithuania","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"1996","Luxembourg","Total","Median equivalised net income","Euro","20,164",""
"1996","Luxembourg","Total","Median equivalised net income","National currency","19,271",""
"1996","Luxembourg","Total","Median equivalised net income","Purchasing power standard (PPS)","19,058",""
"1996","Hungary","Total","Median equivalised net income","Euro",":",""
"1996","Hungary","Total","Median equivalised net income","National currency",":",""
"1996","Hungary","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"1996","Malta","Total","Median equivalised net income","Euro",":",""
"1996","Malta","Total","Median equivalised net income","National currency",":",""
"1996","Malta","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"1996","Netherlands","Total","Median equivalised net income","Euro","11,855",""
"1996","Netherlands","Total","Median equivalised net income","National currency","11,291",""
"1996","Netherlands","Total","Median equivalised net income","Purchasing power standard (PPS)","11,059",""
"1996","Austria","Total","Median equivalised net income","Euro","14,811",""
"1996","Austria","Total","Median equivalised net income","National currency","14,189",""
"1996","Austria","Total","Median equivalised net income","Purchasing power standard (PPS)","12,854",""
"1996","Poland","Total","Median equivalised net income","Euro",":",""
"1996","Poland","Total","Median equivalised net income","National currency",":",""
"1996","Poland","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"1996","Portugal","Total","Median equivalised net income","Euro","4,647",""
"1996","Portugal","Total","Median equivalised net income","National currency","4,546",""
"1996","Portugal","Total","Median equivalised net income","Purchasing power standard (PPS)","6,387",""
"1996","Romania","Total","Median equivalised net income","Euro",":",""
"1996","Romania","Total","Median equivalised net income","National currency",":",""
"1996","Romania","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"1996","Slovenia","Total","Median equivalised net income","Euro",":",""
"1996","Slovenia","Total","Median equivalised net income","National currency",":",""
"1996","Slovenia","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"1996","Slovakia","Total","Median equivalised net income","Euro",":",""
"1996","Slovakia","Total","Median equivalised net income","National currency",":",""
"1996","Slovakia","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"1996","Finland","Total","Median equivalised net income","Euro","12,790",""
"1996","Finland","Total","Median equivalised net income","National currency","12,279",""
"1996","Finland","Total","Median equivalised net income","Purchasing power standard (PPS)","10,412",""
"1996","Sweden","Total","Median equivalised net income","Euro",":",""
"1996","Sweden","Total","Median equivalised net income","National currency",":",""
"1996","Sweden","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"1996","United Kingdom","Total","Median equivalised net income","Euro","10,188",""
"1996","United Kingdom","Total","Median equivalised net income","National currency","8,443",""
"1996","United Kingdom","Total","Median equivalised net income","Purchasing power standard (PPS)","11,558",""
"1996","Iceland","Total","Median equivalised net income","Euro",":",""
"1996","Iceland","Total","Median equivalised net income","National currency",":",""
"1996","Iceland","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"1996","Norway","Total","Median equivalised net income","Euro",":",""
"1996","Norway","Total","Median equivalised net income","National currency",":",""
"1996","Norway","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"1996","Switzerland","Total","Median equivalised net income","Euro",":",""
"1996","Switzerland","Total","Median equivalised net income","National currency",":",""
"1996","Switzerland","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"1996","Montenegro","Total","Median equivalised net income","Euro",":",""
"1996","Montenegro","Total","Median equivalised net income","National currency",":",""
"1996","Montenegro","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"1996","North Macedonia","Total","Median equivalised net income","Euro",":",""
"1996","North Macedonia","Total","Median equivalised net income","National currency",":",""
"1996","North Macedonia","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"1996","Serbia","Total","Median equivalised net income","Euro",":",""
"1996","Serbia","Total","Median equivalised net income","National currency",":",""
"1996","Serbia","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"1996","Turkey","Total","Median equivalised net income","Euro",":",""
"1996","Turkey","Total","Median equivalised net income","National currency",":",""
"1996","Turkey","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"1997","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Total","Median equivalised net income","Euro",":",""
"1997","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Total","Median equivalised net income","National currency",":",""
"1997","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"1997","European Union - 27 countries (from 2020)","Total","Median equivalised net income","Euro",":",""
"1997","European Union - 27 countries (from 2020)","Total","Median equivalised net income","National currency",":",""
"1997","European Union - 27 countries (from 2020)","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"1997","European Union - 28 countries (2013-2020)","Total","Median equivalised net income","Euro",":",""
"1997","European Union - 28 countries (2013-2020)","Total","Median equivalised net income","National currency",":",""
"1997","European Union - 28 countries (2013-2020)","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"1997","European Union - 27 countries (2007-2013)","Total","Median equivalised net income","Euro",":",""
"1997","European Union - 27 countries (2007-2013)","Total","Median equivalised net income","National currency",":",""
"1997","European Union - 27 countries (2007-2013)","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"1997","European Union - 15 countries (1995-2004)","Total","Median equivalised net income","Euro","11,415","e"
"1997","European Union - 15 countries (1995-2004)","Total","Median equivalised net income","National currency",":",""
"1997","European Union - 15 countries (1995-2004)","Total","Median equivalised net income","Purchasing power standard (PPS)","11,315","e"
"1997","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Total","Median equivalised net income","Euro",":",""
"1997","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Total","Median equivalised net income","National currency",":",""
"1997","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"1997","Euro area - 19 countries  (from 2015)","Total","Median equivalised net income","Euro",":",""
"1997","Euro area - 19 countries  (from 2015)","Total","Median equivalised net income","National currency",":",""
"1997","Euro area - 19 countries  (from 2015)","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"1997","Euro area - 18 countries (2014)","Total","Median equivalised net income","Euro",":",""
"1997","Euro area - 18 countries (2014)","Total","Median equivalised net income","National currency",":",""
"1997","Euro area - 18 countries (2014)","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"1997","Belgium","Total","Median equivalised net income","Euro","14,086",""
"1997","Belgium","Total","Median equivalised net income","National currency","13,722",""
"1997","Belgium","Total","Median equivalised net income","Purchasing power standard (PPS)","13,719",""
"1997","Bulgaria","Total","Median equivalised net income","Euro",":",""
"1997","Bulgaria","Total","Median equivalised net income","National currency",":",""
"1997","Bulgaria","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"1997","Czechia","Total","Median equivalised net income","Euro",":",""
"1997","Czechia","Total","Median equivalised net income","National currency",":",""
"1997","Czechia","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"1997","Denmark","Total","Median equivalised net income","Euro",":",""
"1997","Denmark","Total","Median equivalised net income","National currency",":",""
"1997","Denmark","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"1997","Germany (until 1990 former territory of the FRG)","Total","Median equivalised net income","Euro","14,769",""
"1997","Germany (until 1990 former territory of the FRG)","Total","Median equivalised net income","National currency","14,419",""
"1997","Germany (until 1990 former territory of the FRG)","Total","Median equivalised net income","Purchasing power standard (PPS)","13,222",""
"1997","Estonia","Total","Median equivalised net income","Euro",":",""
"1997","Estonia","Total","Median equivalised net income","National currency",":",""
"1997","Estonia","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"1997","Ireland","Total","Median equivalised net income","Euro","9,173",""
"1997","Ireland","Total","Median equivalised net income","National currency","9,241",""
"1997","Ireland","Total","Median equivalised net income","Purchasing power standard (PPS)","9,781",""
"1997","Greece","Total","Median equivalised net income","Euro","5,891",""
"1997","Greece","Total","Median equivalised net income","National currency","5,346",""
"1997","Greece","Total","Median equivalised net income","Purchasing power standard (PPS)","7,314",""
"1997","Spain","Total","Median equivalised net income","Euro","6,619",""
"1997","Spain","Total","Median equivalised net income","National currency","6,395",""
"1997","Spain","Total","Median equivalised net income","Purchasing power standard (PPS)","7,988",""
"1997","France","Total","Median equivalised net income","Euro","13,353",""
"1997","France","Total","Median equivalised net income","National currency","13,224",""
"1997","France","Total","Median equivalised net income","Purchasing power standard (PPS)","11,860",""
"1997","Croatia","Total","Median equivalised net income","Euro",":",""
"1997","Croatia","Total","Median equivalised net income","National currency",":",""
"1997","Croatia","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"1997","Italy","Total","Median equivalised net income","Euro","8,295",""
"1997","Italy","Total","Median equivalised net income","National currency","8,392",""
"1997","Italy","Total","Median equivalised net income","Purchasing power standard (PPS)","9,576",""
"1997","Cyprus","Total","Median equivalised net income","Euro",":",""
"1997","Cyprus","Total","Median equivalised net income","National currency",":",""
"1997","Cyprus","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"1997","Latvia","Total","Median equivalised net income","Euro",":",""
"1997","Latvia","Total","Median equivalised net income","National currency",":",""
"1997","Latvia","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"1997","Lithuania","Total","Median equivalised net income","Euro",":",""
"1997","Lithuania","Total","Median equivalised net income","National currency",":",""
"1997","Lithuania","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"1997","Luxembourg","Total","Median equivalised net income","Euro","20,571",""
"1997","Luxembourg","Total","Median equivalised net income","National currency","20,040",""
"1997","Luxembourg","Total","Median equivalised net income","Purchasing power standard (PPS)","20,383",""
"1997","Hungary","Total","Median equivalised net income","Euro",":",""
"1997","Hungary","Total","Median equivalised net income","National currency",":",""
"1997","Hungary","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"1997","Malta","Total","Median equivalised net income","Euro",":",""
"1997","Malta","Total","Median equivalised net income","National currency",":",""
"1997","Malta","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"1997","Netherlands","Total","Median equivalised net income","Euro","12,393",""
"1997","Netherlands","Total","Median equivalised net income","National currency","12,034",""
"1997","Netherlands","Total","Median equivalised net income","Purchasing power standard (PPS)","11,999",""
"1997","Austria","Total","Median equivalised net income","Euro","14,375",""
"1997","Austria","Total","Median equivalised net income","National currency","14,034",""
"1997","Austria","Total","Median equivalised net income","Purchasing power standard (PPS)","13,209",""
"1997","Poland","Total","Median equivalised net income","Euro",":",""
"1997","Poland","Total","Median equivalised net income","National currency",":",""
"1997","Poland","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"1997","Portugal","Total","Median equivalised net income","Euro","4,946",""
"1997","Portugal","Total","Median equivalised net income","National currency","4,829",""
"1997","Portugal","Total","Median equivalised net income","Purchasing power standard (PPS)","6,719",""
"1997","Romania","Total","Median equivalised net income","Euro",":",""
"1997","Romania","Total","Median equivalised net income","National currency",":",""
"1997","Romania","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"1997","Slovenia","Total","Median equivalised net income","Euro",":",""
"1997","Slovenia","Total","Median equivalised net income","National currency",":",""
"1997","Slovenia","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"1997","Slovakia","Total","Median equivalised net income","Euro",":",""
"1997","Slovakia","Total","Median equivalised net income","National currency",":",""
"1997","Slovakia","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"1997","Finland","Total","Median equivalised net income","Euro","12,814",""
"1997","Finland","Total","Median equivalised net income","National currency","12,561",""
"1997","Finland","Total","Median equivalised net income","Purchasing power standard (PPS)","10,920",""
"1997","Sweden","Total","Median equivalised net income","Euro",":",""
"1997","Sweden","Total","Median equivalised net income","National currency",":",""
"1997","Sweden","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"1997","United Kingdom","Total","Median equivalised net income","Euro","10,955",""
"1997","United Kingdom","Total","Median equivalised net income","National currency","8,915",""
