Regions,number
Spijkenisse,
Stadskanaal,15266
Staphorst,5853
Stede Broec,9121
Steenbergen,10258
Steenwijkerland,19951
Stein (L.),11690
Stichtse Vecht,28121
Strijen,3951
Súdwest-Fryslân,41599
Terneuzen,26812
Terschelling,2276
Texel,6552
Teylingen,15515
Tholen,10777
Tiel,17902
Tilburg,97612
Tubbergen,8490
Twenterand,13664
Tynaarlo,14211
Tytsjerksteradiel,13800
Ubbergen,
Uden,18474
Uitgeest,5619
Uithoorn,12948
Urk,6381
Utrecht (gemeente),150831
Utrechtse Heuvelrug,21636
Vaals,5524
Valkenburg aan de Geul,8185
Valkenswaard,14548
Veendam,12788
Veenendaal,27512
Veere,10922
Veghel,
Veldhoven,19502
Velsen,30697
Venlo,46833
Venray,18905
Vianen,8437
Vijfheerenlanden,
Vlaardingen,35126
Vlagtwedde,
Vlieland,551
Vlissingen,22796
Vlist,
Voerendaal,5759
Voorschoten,11442
Voorst,10495
Vught,11394
Waadhoeke,21003
Waalre,7564
Waalwijk,21538
Waddinxveen,11746
Wageningen,17181
Wassenaar,12176
Waterland,7260
Weert,22626
Weesp,8951
Werkendam,10830
West Betuwe,
West Maas en Waal,8016
Westerkwartier,
Westerveld,8454
Westervoort,6662
Westerwolde,11963
Westland,43636
Weststellingwerf,11599
Westvoorne,6793
Wierden,9660
Wijchen,17843
Wijdemeren,10618
Wijk bij Duurstede,9979
Winsum,6026
Winterswijk,12993
Woensdrecht,9837
Woerden,21756
De Wolden,10149
Wormerland,6803
Woudenberg,5006
Woudrichem,6081
Zaanstad,68025
Zaltbommel,11216
Zandvoort,9523
Zederik,5588
Zeevang,
Zeewolde,8340
Zeist,28555
Zevenaar,19684
Zijpe,
Zoetermeer,55944
Zoeterwoude,3493
Zuidhorn,7883
Zuidplas,17237
Zundert,9408
Zutphen,21971
Zwartewaterland,8817
Zwijndrecht,20394
Zwolle,56595
Bron: CBS,
