"TIME","GEO","SEX","AGE","CITIZEN","UNIT","Value","Flag and Footnotes"
"1998Q1","Hungary","Females","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","Malta","Total","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","Malta","Males","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","Malta","Females","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","Netherlands","Total","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","Netherlands","Males","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","Netherlands","Females","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","Austria","Total","From 15 to 64 years","Total","Percentage","71.3",""
"1998Q1","Austria","Males","From 15 to 64 years","Total","Percentage","80.2",""
"1998Q1","Austria","Females","From 15 to 64 years","Total","Percentage","62.5",""
"1998Q1","Poland","Total","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","Poland","Males","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","Poland","Females","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","Portugal","Total","From 15 to 64 years","Total","Percentage","70.8","b"
"1998Q1","Portugal","Males","From 15 to 64 years","Total","Percentage","79.5","b"
"1998Q1","Portugal","Females","From 15 to 64 years","Total","Percentage","62.5","b"
"1998Q1","Romania","Total","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","Romania","Males","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","Romania","Females","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","Slovenia","Total","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","Slovenia","Males","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","Slovenia","Females","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","Slovakia","Total","From 15 to 64 years","Total","Percentage","69.2",""
"1998Q1","Slovakia","Males","From 15 to 64 years","Total","Percentage","77.2",""
"1998Q1","Slovakia","Females","From 15 to 64 years","Total","Percentage","61.6",""
"1998Q1","Finland","Total","From 15 to 64 years","Total","Percentage","70.9",""
"1998Q1","Finland","Males","From 15 to 64 years","Total","Percentage","74.1",""
"1998Q1","Finland","Females","From 15 to 64 years","Total","Percentage","67.8",""
"1998Q1","Sweden","Total","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","Sweden","Males","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","Sweden","Females","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","United Kingdom","Total","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","United Kingdom","Males","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","United Kingdom","Females","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","Iceland","Total","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","Iceland","Males","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","Iceland","Females","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","Norway","Total","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","Norway","Males","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","Norway","Females","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","Switzerland","Total","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","Switzerland","Males","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","Switzerland","Females","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","Montenegro","Total","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","Montenegro","Males","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","Montenegro","Females","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","North Macedonia","Total","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","North Macedonia","Males","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","North Macedonia","Females","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","Serbia","Total","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","Serbia","Males","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","Serbia","Females","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","Turkey","Total","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","Turkey","Males","From 15 to 64 years","Total","Percentage",":",""
"1998Q1","Turkey","Females","From 15 to 64 years","Total","Percentage",":",""
"1998Q2","European Union - 27 countries (from 2020)","Total","From 15 to 64 years","Total","Percentage",":",""
"1998Q2","European Union - 27 countries (from 2020)","Males","From 15 to 64 years","Total","Percentage",":",""
"1998Q2","European Union - 27 countries (from 2020)","Females","From 15 to 64 years","Total","Percentage",":",""
"1998Q2","European Union - 28 countries (2013-2020)","Total","From 15 to 64 years","Total","Percentage",":",""
"1998Q2","European Union - 28 countries (2013-2020)","Males","From 15 to 64 years","Total","Percentage",":",""
"1998Q2","European Union - 28 countries (2013-2020)","Females","From 15 to 64 years","Total","Percentage",":",""
"1998Q2","European Union - 15 countries (1995-2004)","Total","From 15 to 64 years","Total","Percentage","68.2",""
"1998Q2","European Union - 15 countries (1995-2004)","Males","From 15 to 64 years","Total","Percentage","78.0",""
"1998Q2","European Union - 15 countries (1995-2004)","Females","From 15 to 64 years","Total","Percentage","58.3",""
"1998Q2","Euro area - 19 countries  (from 2015)","Total","From 15 to 64 years","Total","Percentage",":",""
"1998Q2","Euro area - 19 countries  (from 2015)","Males","From 15 to 64 years","Total","Percentage",":",""
"1998Q2","Euro area - 19 countries  (from 2015)","Females","From 15 to 64 years","Total","Percentage",":",""
"1998Q2","Belgium","Total","From 15 to 64 years","Total","Percentage","63.2",""
"1998Q2","Belgium","Males","From 15 to 64 years","Total","Percentage","72.5",""
"1998Q2","Belgium","Females","From 15 to 64 years","Total","Percentage","53.8",""
"1998Q2","Bulgaria","Total","From 15 to 64 years","Total","Percentage",":",""
"1998Q2","Bulgaria","Males","From 15 to 64 years","Total","Percentage",":",""
"1998Q2","Bulgaria","Females","From 15 to 64 years","Total","Percentage",":",""
"1998Q2","Czechia","Total","From 15 to 64 years","Total","Percentage","71.7",""
"1998Q2","Czechia","Males","From 15 to 64 years","Total","Percentage","79.8",""
"1998Q2","Czechia","Females","From 15 to 64 years","Total","Percentage","63.7",""
"1998Q2","Denmark","Total","From 15 to 64 years","Total","Percentage","79.3",""
"1998Q2","Denmark","Males","From 15 to 64 years","Total","Percentage","83.5",""
"1998Q2","Denmark","Females","From 15 to 64 years","Total","Percentage","75.1",""
"1998Q2","Germany (until 1990 former territory of the FRG)","Total","From 15 to 64 years","Total","Percentage","70.7",""
"1998Q2","Germany (until 1990 former territory of the FRG)","Males","From 15 to 64 years","Total","Percentage","79.2",""
"1998Q2","Germany (until 1990 former territory of the FRG)","Females","From 15 to 64 years","Total","Percentage","62.1",""
"1998Q2","Estonia","Total","From 15 to 64 years","Total","Percentage","72.2",""
"1998Q2","Estonia","Males","From 15 to 64 years","Total","Percentage","78.3",""
"1998Q2","Estonia","Females","From 15 to 64 years","Total","Percentage","66.6",""
"1998Q2","Ireland","Total","From 15 to 64 years","Total","Percentage","64.7","b"
"1998Q2","Ireland","Males","From 15 to 64 years","Total","Percentage","77.4","b"
"1998Q2","Ireland","Females","From 15 to 64 years","Total","Percentage","52.0","b"
"1998Q2","Greece","Total","From 15 to 64 years","Total","Percentage","63.0",""
"1998Q2","Greece","Males","From 15 to 64 years","Total","Percentage","77.5",""
"1998Q2","Greece","Females","From 15 to 64 years","Total","Percentage","48.8",""
"1998Q2","Spain","Total","From 15 to 64 years","Total","Percentage","62.7",""
"1998Q2","Spain","Males","From 15 to 64 years","Total","Percentage","77.0",""
"1998Q2","Spain","Females","From 15 to 64 years","Total","Percentage","48.6",""
"1998Q2","France","Total","From 15 to 64 years","Total","Percentage",":",""
"1998Q2","France","Males","From 15 to 64 years","Total","Percentage",":",""
"1998Q2","France","Females","From 15 to 64 years","Total","Percentage",":",""
"1998Q2","Croatia","Total","From 15 to 64 years","Total","Percentage",":",""
"1998Q2","Croatia","Males","From 15 to 64 years","Total","Percentage",":",""
"1998Q2","Croatia","Females","From 15 to 64 years","Total","Percentage",":",""
"1998Q2","Italy","Total","From 15 to 64 years","Total","Percentage","59.0",""
"1998Q2","Italy","Males","From 15 to 64 years","Total","Percentage","73.7",""
"1998Q2","Italy","Females","From 15 to 64 years","Total","Percentage","44.5",""
"1998Q2","Cyprus","Total","From 15 to 64 years","Total","Percentage",":",""
"1998Q2","Cyprus","Males","From 15 to 64 years","Total","Percentage",":",""
"1998Q2","Cyprus","Females","From 15 to 64 years","Total","Percentage",":",""
"1998Q2","Latvia","Total","From 15 to 64 years","Total","Percentage","70.1",""
"1998Q2","Latvia","Males","From 15 to 64 years","Total","Percentage","76.3",""
"1998Q2","Latvia","Females","From 15 to 64 years","Total","Percentage","64.4",""
"1998Q2","Lithuania","Total","From 15 to 64 years","Total","Percentage","72.1",""
"1998Q2","Lithuania","Males","From 15 to 64 years","Total","Percentage","78.7",""
"1998Q2","Lithuania","Females","From 15 to 64 years","Total","Percentage","66.0",""
"1998Q2","Luxembourg","Total","From 15 to 64 years","Total","Percentage","61.9",""
"1998Q2","Luxembourg","Males","From 15 to 64 years","Total","Percentage","76.0",""
"1998Q2","Luxembourg","Females","From 15 to 64 years","Total","Percentage","47.6",""
"1998Q2","Hungary","Total","From 15 to 64 years","Total","Percentage","58.4",""
"1998Q2","Hungary","Males","From 15 to 64 years","Total","Percentage","66.3",""
"1998Q2","Hungary","Females","From 15 to 64 years","Total","Percentage","50.8",""
"1998Q2","Malta","Total","From 15 to 64 years","Total","Percentage",":",""
"1998Q2","Malta","Males","From 15 to 64 years","Total","Percentage",":",""
"1998Q2","Malta","Females","From 15 to 64 years","Total","Percentage",":",""
"1998Q2","Netherlands","Total","From 15 to 64 years","Total","Percentage","72.6",""
"1998Q2","Netherlands","Males","From 15 to 64 years","Total","Percentage","82.4",""
"1998Q2","Netherlands","Females","From 15 to 64 years","Total","Percentage","62.5",""
"1998Q2","Austria","Total","From 15 to 64 years","Total","Percentage",":",""
"1998Q2","Austria","Males","From 15 to 64 years","Total","Percentage",":",""
"1998Q2","Austria","Females","From 15 to 64 years","Total","Percentage",":",""
"1998Q2","Poland","Total","From 15 to 64 years","Total","Percentage","65.9",""
"1998Q2","Poland","Males","From 15 to 64 years","Total","Percentage","72.5",""
"1998Q2","Poland","Females","From 15 to 64 years","Total","Percentage","59.4",""
"1998Q2","Portugal","Total","From 15 to 64 years","Total","Percentage","70.6",""
"1998Q2","Portugal","Males","From 15 to 64 years","Total","Percentage","79.2",""
"1998Q2","Portugal","Females","From 15 to 64 years","Total","Percentage","62.3",""
"1998Q2","Romania","Total","From 15 to 64 years","Total","Percentage","70.3",""
"1998Q2","Romania","Males","From 15 to 64 years","Total","Percentage","76.7",""
"1998Q2","Romania","Females","From 15 to 64 years","Total","Percentage","64.0",""
"1998Q2","Slovenia","Total","From 15 to 64 years","Total","Percentage","68.8",""
"1998Q2","Slovenia","Males","From 15 to 64 years","Total","Percentage","73.0",""
"1998Q2","Slovenia","Females","From 15 to 64 years","Total","Percentage","64.4",""
"1998Q2","Slovakia","Total","From 15 to 64 years","Total","Percentage","69.0",""
"1998Q2","Slovakia","Males","From 15 to 64 years","Total","Percentage","76.9",""
"1998Q2","Slovakia","Females","From 15 to 64 years","Total","Percentage","61.3",""
"1998Q2","Finland","Total","From 15 to 64 years","Total","Percentage","73.1",""
"1998Q2","Finland","Males","From 15 to 64 years","Total","Percentage","76.1",""
"1998Q2","Finland","Females","From 15 to 64 years","Total","Percentage","70.0",""
"1998Q2","Sweden","Total","From 15 to 64 years","Total","Percentage","75.5",""
"1998Q2","Sweden","Males","From 15 to 64 years","Total","Percentage","78.7",""
"1998Q2","Sweden","Females","From 15 to 64 years","Total","Percentage","72.2",""
"1998Q2","United Kingdom","Total","From 15 to 64 years","Total","Percentage","74.9",""
"1998Q2","United Kingdom","Males","From 15 to 64 years","Total","Percentage","82.8",""
"1998Q2","United Kingdom","Females","From 15 to 64 years","Total","Percentage","66.9",""
"1998Q2","Iceland","Total","From 15 to 64 years","Total","Percentage","85.7",""
"1998Q2","Iceland","Males","From 15 to 64 years","Total","Percentage","89.9",""
"1998Q2","Iceland","Females","From 15 to 64 years","Total","Percentage","81.4",""
"1998Q2","Norway","Total","From 15 to 64 years","Total","Percentage","81.1",""
"1998Q2","Norway","Males","From 15 to 64 years","Total","Percentage","85.4",""
"1998Q2","Norway","Females","From 15 to 64 years","Total","Percentage","76.8",""
"1998Q2","Switzerland","Total","From 15 to 64 years","Total","Percentage","81.0",""
"1998Q2","Switzerland","Males","From 15 to 64 years","Total","Percentage","90.2",""
"1998Q2","Switzerland","Females","From 15 to 64 years","Total","Percentage","71.9",""
"1998Q2","Montenegro","Total","From 15 to 64 years","Total","Percentage",":",""
"1998Q2","Montenegro","Males","From 15 to 64 years","Total","Percentage",":",""
"1998Q2","Montenegro","Females","From 15 to 64 years","Total","Percentage",":",""
"1998Q2","North Macedonia","Total","From 15 to 64 years","Total","Percentage",":",""
"1998Q2","North Macedonia","Males","From 15 to 64 years","Total","Percentage",":",""
"1998Q2","North Macedonia","Females","From 15 to 64 years","Total","Percentage",":",""
"1998Q2","Serbia","Total","From 15 to 64 years","Total","Percentage",":",""
"1998Q2","Serbia","Males","From 15 to 64 years","Total","Percentage",":",""
"1998Q2","Serbia","Females","From 15 to 64 years","Total","Percentage",":",""
"1998Q2","Turkey","Total","From 15 to 64 years","Total","Percentage",":",""
"1998Q2","Turkey","Males","From 15 to 64 years","Total","Percentage",":",""
"1998Q2","Turkey","Females","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","European Union - 27 countries (from 2020)","Total","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","European Union - 27 countries (from 2020)","Males","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","European Union - 27 countries (from 2020)","Females","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","European Union - 28 countries (2013-2020)","Total","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","European Union - 28 countries (2013-2020)","Males","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","European Union - 28 countries (2013-2020)","Females","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","European Union - 15 countries (1995-2004)","Total","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","European Union - 15 countries (1995-2004)","Males","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","European Union - 15 countries (1995-2004)","Females","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","Euro area - 19 countries  (from 2015)","Total","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","Euro area - 19 countries  (from 2015)","Males","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","Euro area - 19 countries  (from 2015)","Females","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","Belgium","Total","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","Belgium","Males","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","Belgium","Females","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","Bulgaria","Total","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","Bulgaria","Males","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","Bulgaria","Females","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","Czechia","Total","From 15 to 64 years","Total","Percentage","72.0",""
"1998Q3","Czechia","Males","From 15 to 64 years","Total","Percentage","80.2",""
"1998Q3","Czechia","Females","From 15 to 64 years","Total","Percentage","63.9",""
"1998Q3","Denmark","Total","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","Denmark","Males","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","Denmark","Females","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","Germany (until 1990 former territory of the FRG)","Total","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","Germany (until 1990 former territory of the FRG)","Males","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","Germany (until 1990 former territory of the FRG)","Females","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","Estonia","Total","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","Estonia","Males","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","Estonia","Females","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","Ireland","Total","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","Ireland","Males","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","Ireland","Females","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","Greece","Total","From 15 to 64 years","Total","Percentage","63.5",""
"1998Q3","Greece","Males","From 15 to 64 years","Total","Percentage","77.8",""
"1998Q3","Greece","Females","From 15 to 64 years","Total","Percentage","49.4",""
"1998Q3","Spain","Total","From 15 to 64 years","Total","Percentage","63.4",""
"1998Q3","Spain","Males","From 15 to 64 years","Total","Percentage","77.7",""
"1998Q3","Spain","Females","From 15 to 64 years","Total","Percentage","49.1",""
"1998Q3","France","Total","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","France","Males","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","France","Females","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","Croatia","Total","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","Croatia","Males","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","Croatia","Females","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","Italy","Total","From 15 to 64 years","Total","Percentage","59.4",""
"1998Q3","Italy","Males","From 15 to 64 years","Total","Percentage","74.0",""
"1998Q3","Italy","Females","From 15 to 64 years","Total","Percentage","44.9",""
"1998Q3","Cyprus","Total","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","Cyprus","Males","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","Cyprus","Females","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","Latvia","Total","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","Latvia","Males","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","Latvia","Females","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","Lithuania","Total","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","Lithuania","Males","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","Lithuania","Females","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","Luxembourg","Total","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","Luxembourg","Males","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","Luxembourg","Females","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","Hungary","Total","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","Hungary","Males","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","Hungary","Females","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","Malta","Total","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","Malta","Males","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","Malta","Females","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","Netherlands","Total","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","Netherlands","Males","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","Netherlands","Females","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","Austria","Total","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","Austria","Males","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","Austria","Females","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","Poland","Total","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","Poland","Males","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","Poland","Females","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","Portugal","Total","From 15 to 64 years","Total","Percentage","70.4",""
"1998Q3","Portugal","Males","From 15 to 64 years","Total","Percentage","79.2",""
"1998Q3","Portugal","Females","From 15 to 64 years","Total","Percentage","62.0",""
"1998Q3","Romania","Total","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","Romania","Males","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","Romania","Females","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","Slovenia","Total","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","Slovenia","Males","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","Slovenia","Females","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","Slovakia","Total","From 15 to 64 years","Total","Percentage","69.5",""
"1998Q3","Slovakia","Males","From 15 to 64 years","Total","Percentage","77.5",""
"1998Q3","Slovakia","Females","From 15 to 64 years","Total","Percentage","61.8",""
"1998Q3","Finland","Total","From 15 to 64 years","Total","Percentage","73.9",""
"1998Q3","Finland","Males","From 15 to 64 years","Total","Percentage","77.6",""
"1998Q3","Finland","Females","From 15 to 64 years","Total","Percentage","70.3",""
"1998Q3","Sweden","Total","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","Sweden","Males","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","Sweden","Females","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","United Kingdom","Total","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","United Kingdom","Males","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","United Kingdom","Females","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","Iceland","Total","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","Iceland","Males","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","Iceland","Females","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","Norway","Total","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","Norway","Males","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","Norway","Females","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","Switzerland","Total","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","Switzerland","Males","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","Switzerland","Females","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","Montenegro","Total","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","Montenegro","Males","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","Montenegro","Females","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","North Macedonia","Total","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","North Macedonia","Males","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","North Macedonia","Females","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","Serbia","Total","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","Serbia","Males","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","Serbia","Females","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","Turkey","Total","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","Turkey","Males","From 15 to 64 years","Total","Percentage",":",""
"1998Q3","Turkey","Females","From 15 to 64 years","Total","Percentage",":",""
"1998Q4","European Union - 27 countries (from 2020)","Total","From 15 to 64 years","Total","Percentage",":",""
