TIME,GEO,Meat,,,Value,
2010,European Union - 25 countries (2004-2006),Meat of sheep and goats,Slaughterings,Thousand tonnes,:,c
2010,European Union - 25 countries (2004-2006),Meat of sheep and goats,Slaughterings,Thousand heads (animals),:,c
,,,,,,
,,,,,,
2010,European Union - 25 countries (2004-2006),Poultry meat,Slaughterings,Thousand tonnes,:,c
2010,European Union - 25 countries (2004-2006),Poultry meat,Slaughterings,Thousand heads (animals),:,
2010,European Union - 25 countries (2004-2006),Meat of rabbits,Slaughterings,Thousand tonnes,:,
2010,European Union - 25 countries (2004-2006),Meat of rabbits,Slaughterings,Thousand heads (animals),:,
2010,European Union - 15 countries (1995-2004),Bovine meat,Slaughterings,Thousand tonnes,:,c
2010,European Union - 15 countries (1995-2004),Bovine meat,Slaughterings,Thousand heads (animals),:,c
2010,European Union - 15 countries (1995-2004),Pigmeat,Slaughterings,Thousand tonnes,19 257.33,p
2010,European Union - 15 countries (1995-2004),Pigmeat,Slaughterings,Thousand heads (animals),:,c
2010,European Union - 15 countries (1995-2004),Meat of sheep and goats,Slaughterings,Thousand tonnes,:,c
2010,European Union - 15 countries (1995-2004),Meat of sheep and goats,Slaughterings,Thousand heads (animals),:,c
,,,,,,
,,,,,,
2010,European Union - 15 countries (1995-2004),Poultry meat,Slaughterings,Thousand tonnes,:,c
2010,European Union - 15 countries (1995-2004),Poultry meat,Slaughterings,Thousand heads (animals),:,
2010,European Union - 15 countries (1995-2004),Meat of rabbits,Slaughterings,Thousand tonnes,:,
2010,European Union - 15 countries (1995-2004),Meat of rabbits,Slaughterings,Thousand heads (animals),:,
2010,Belgium,Bovine meat,Slaughterings,Thousand tonnes,263.14,
2010,Belgium,Bovine meat,Slaughterings,Thousand heads (animals),835.2,
2010,Belgium,Pigmeat,Slaughterings,Thousand tonnes,1 123.77,
2010,Belgium,Pigmeat,Slaughterings,Thousand heads (animals),11 896.08,
2010,Belgium,Meat of sheep and goats,Slaughterings,Thousand tonnes,2.72,
2010,Belgium,Meat of sheep and goats,Slaughterings,Thousand heads (animals),151.01,
,,,,,,
,,,,,,
2010,Belgium,Poultry meat,Slaughterings,Thousand tonnes,404.34,
2010,Belgium,Poultry meat,Slaughterings,Thousand heads (animals),307 956.25,
2010,Belgium,Meat of rabbits,Slaughterings,Thousand tonnes,:,
2010,Belgium,Meat of rabbits,Slaughterings,Thousand heads (animals),:,
2010,Bulgaria,Bovine meat,Slaughterings,Thousand tonnes,:,c
2010,Bulgaria,Bovine meat,Slaughterings,Thousand heads (animals),:,c
2010,Bulgaria,Pigmeat,Slaughterings,Thousand tonnes,37.35,
2010,Bulgaria,Pigmeat,Slaughterings,Thousand heads (animals),:,c
2010,Bulgaria,Meat of sheep and goats,Slaughterings,Thousand tonnes,:,c
2010,Bulgaria,Meat of sheep and goats,Slaughterings,Thousand heads (animals),:,c
,,,,,,
,,,,,,
2010,Bulgaria,Poultry meat,Slaughterings,Thousand tonnes,96.02,
2010,Bulgaria,Poultry meat,Slaughterings,Thousand heads (animals),53 226.38,
2010,Bulgaria,Meat of rabbits,Slaughterings,Thousand tonnes,:,
2010,Bulgaria,Meat of rabbits,Slaughterings,Thousand heads (animals),:,
2010,Czechia,Bovine meat,Slaughterings,Thousand tonnes,74.26,
2010,Czechia,Bovine meat,Slaughterings,Thousand heads (animals),255.48,
2010,Czechia,Pigmeat,Slaughterings,Thousand tonnes,275.91,
2010,Czechia,Pigmeat,Slaughterings,Thousand heads (animals),3 115.77,
2010,Czechia,Meat of sheep and goats,Slaughterings,Thousand tonnes,0.15,
2010,Czechia,Meat of sheep and goats,Slaughterings,Thousand heads (animals),9.84,
,,,,,,
,,,,,,
2010,Czechia,Poultry meat,Slaughterings,Thousand tonnes,188.18,
2010,Czechia,Poultry meat,Slaughterings,Thousand heads (animals),135 378.00,
2010,Czechia,Meat of rabbits,Slaughterings,Thousand tonnes,:,
2010,Czechia,Meat of rabbits,Slaughterings,Thousand heads (animals),:,
2010,Denmark,Bovine meat,Slaughterings,Thousand tonnes,131.2,
2010,Denmark,Bovine meat,Slaughterings,Thousand heads (animals),494.8,
2010,Denmark,Pigmeat,Slaughterings,Thousand tonnes,1 666.30,
2010,Denmark,Pigmeat,Slaughterings,Thousand heads (animals),20 113.80,
2010,Denmark,Meat of sheep and goats,Slaughterings,Thousand tonnes,1.7,
2010,Denmark,Meat of sheep and goats,Slaughterings,Thousand heads (animals),85.6,
,,,,,,
,,,,,,
2010,Denmark,Poultry meat,Slaughterings,Thousand tonnes,159.6,
2010,Denmark,Poultry meat,Slaughterings,Thousand heads (animals),108 405.90,
2010,Denmark,Meat of rabbits,Slaughterings,Thousand tonnes,:,
2010,Denmark,Meat of rabbits,Slaughterings,Thousand heads (animals),:,
2010,Germany (until 1990 former territory of the FRG),Bovine meat,Slaughterings,Thousand tonnes,1 186.72,
2010,Germany (until 1990 former territory of the FRG),Bovine meat,Slaughterings,Thousand heads (animals),3 743.97,
2010,Germany (until 1990 former territory of the FRG),Pigmeat,Slaughterings,Thousand tonnes,5 443.17,
2010,Germany (until 1990 former territory of the FRG),Pigmeat,Slaughterings,Thousand heads (animals),58 154.31,
2010,Germany (until 1990 former territory of the FRG),Meat of sheep and goats,Slaughterings,Thousand tonnes,20.23,
2010,Germany (until 1990 former territory of the FRG),Meat of sheep and goats,Slaughterings,Thousand heads (animals),997.15,
,,,,,,
,,,,,,
2010,Germany (until 1990 former territory of the FRG),Poultry meat,Slaughterings,Thousand tonnes,1 379.56,
2010,Germany (until 1990 former territory of the FRG),Poultry meat,Slaughterings,Thousand heads (animals),683 010.00,
2010,Germany (until 1990 former territory of the FRG),Meat of rabbits,Slaughterings,Thousand tonnes,:,
2010,Germany (until 1990 former territory of the FRG),Meat of rabbits,Slaughterings,Thousand heads (animals),:,
2010,Estonia,Bovine meat,Slaughterings,Thousand tonnes,8.96,
2010,Estonia,Bovine meat,Slaughterings,Thousand heads (animals),38.55,
2010,Estonia,Pigmeat,Slaughterings,Thousand tonnes,31.93,
2010,Estonia,Pigmeat,Slaughterings,Thousand heads (animals),408.05,
2010,Estonia,Meat of sheep and goats,Slaughterings,Thousand tonnes,0.09,
2010,Estonia,Meat of sheep and goats,Slaughterings,Thousand heads (animals),4.55,
,,,,,,
,,,,,,
2010,Estonia,Poultry meat,Slaughterings,Thousand tonnes,:,c
2010,Estonia,Poultry meat,Slaughterings,Thousand heads (animals),:,c
2010,Estonia,Meat of rabbits,Slaughterings,Thousand tonnes,:,
2010,Estonia,Meat of rabbits,Slaughterings,Thousand heads (animals),:,
2010,Ireland,Bovine meat,Slaughterings,Thousand tonnes,559,
2010,Ireland,Bovine meat,Slaughterings,Thousand heads (animals),1 716.42,
2010,Ireland,Pigmeat,Slaughterings,Thousand tonnes,214.13,
2010,Ireland,Pigmeat,Slaughterings,Thousand heads (animals),2 657.07,
2010,Ireland,Meat of sheep and goats,Slaughterings,Thousand tonnes,47.8,
2010,Ireland,Meat of sheep and goats,Slaughterings,Thousand heads (animals),2 382.68,
,,,,,,
,,,,,,
2010,Ireland,Poultry meat,Slaughterings,Thousand tonnes,:,c
2010,Ireland,Poultry meat,Slaughterings,Thousand heads (animals),:,c
2010,Ireland,Meat of rabbits,Slaughterings,Thousand tonnes,:,
2010,Ireland,Meat of rabbits,Slaughterings,Thousand heads (animals),:,
2010,Greece,Bovine meat,Slaughterings,Thousand tonnes,58.03,
2010,Greece,Bovine meat,Slaughterings,Thousand heads (animals),246.73,
2010,Greece,Pigmeat,Slaughterings,Thousand tonnes,113.72,
2010,Greece,Pigmeat,Slaughterings,Thousand heads (animals),1 832.39,
2010,Greece,Meat of sheep and goats,Slaughterings,Thousand tonnes,107.05,
2010,Greece,Meat of sheep and goats,Slaughterings,Thousand heads (animals),10 350.77,
,,,,,,
,,,,,,
2010,Greece,Poultry meat,Slaughterings,Thousand tonnes,178,
2010,Greece,Poultry meat,Slaughterings,Thousand heads (animals),116 068.85,
2010,Greece,Meat of rabbits,Slaughterings,Thousand tonnes,:,
2010,Greece,Meat of rabbits,Slaughterings,Thousand heads (animals),:,
2010,Spain,Bovine meat,Slaughterings,Thousand tonnes,606.59,
2010,Spain,Bovine meat,Slaughterings,Thousand heads (animals),2 302.09,
2010,Spain,Pigmeat,Slaughterings,Thousand tonnes,3 368.92,
2010,Spain,Pigmeat,Slaughterings,Thousand heads (animals),40 847.02,
2010,Spain,Meat of sheep and goats,Slaughterings,Thousand tonnes,141.85,
2010,Spain,Meat of sheep and goats,Slaughterings,Thousand heads (animals),13 111.86,
,,,,,,
,,,,,,
2010,Spain,Poultry meat,Slaughterings,Thousand tonnes,1 349.43,
2010,Spain,Poultry meat,Slaughterings,Thousand heads (animals),695 065.97,
2010,Spain,Meat of rabbits,Slaughterings,Thousand tonnes,:,
2010,Spain,Meat of rabbits,Slaughterings,Thousand heads (animals),:,
2010,France,Bovine meat,Slaughterings,Thousand tonnes,1 519.25,
2010,France,Bovine meat,Slaughterings,Thousand heads (animals),5 024.73,
2010,France,Pigmeat,Slaughterings,Thousand tonnes,2 231.60,
2010,France,Pigmeat,Slaughterings,Thousand heads (animals),24 930.55,
2010,France,Meat of sheep and goats,Slaughterings,Thousand tonnes,90.06,p
2010,France,Meat of sheep and goats,Slaughterings,Thousand heads (animals),5 250.72,p
,,,,,,
,,,,,,
2010,France,Poultry meat,Slaughterings,Thousand tonnes,1 712.00,p
2010,France,Poultry meat,Slaughterings,Thousand heads (animals),996 100.00,p
2010,France,Meat of rabbits,Slaughterings,Thousand tonnes,:,
2010,France,Meat of rabbits,Slaughterings,Thousand heads (animals),:,
2010,Croatia,Bovine meat,Slaughterings,Thousand tonnes,55.41,
2010,Croatia,Bovine meat,Slaughterings,Thousand heads (animals),241.2,
2010,Croatia,Pigmeat,Slaughterings,Thousand tonnes,88.5,
2010,Croatia,Pigmeat,Slaughterings,Thousand heads (animals),1 193.00,
2010,Croatia,Meat of sheep and goats,Slaughterings,Thousand tonnes,0.81,
2010,Croatia,Meat of sheep and goats,Slaughterings,Thousand heads (animals),71.4,
,,,,,,
,,,,,,
2010,Croatia,Poultry meat,Slaughterings,Thousand tonnes,60.2,
2010,Croatia,Poultry meat,Slaughterings,Thousand heads (animals),35 039.00,
2010,Croatia,Meat of rabbits,Slaughterings,Thousand tonnes,:,
2010,Croatia,Meat of rabbits,Slaughterings,Thousand heads (animals),:,
2010,Italy,Bovine meat,Slaughterings,Thousand tonnes,1 075.41,
2010,Italy,Bovine meat,Slaughterings,Thousand heads (animals),3 861.62,
2010,Italy,Pigmeat,Slaughterings,Thousand tonnes,1 632.72,
2010,Italy,Pigmeat,Slaughterings,Thousand heads (animals),12 907.89,
2010,Italy,Meat of sheep and goats,Slaughterings,Thousand tonnes,39.2,
2010,Italy,Meat of sheep and goats,Slaughterings,Thousand heads (animals),3 893.62,
,,,,,,
,,,,,,
2010,Italy,Poultry meat,Slaughterings,Thousand tonnes,1 179.87,
2010,Italy,Poultry meat,Slaughterings,Thousand heads (animals),548 068.00,
2010,Italy,Meat of rabbits,Slaughterings,Thousand tonnes,:,
2010,Italy,Meat of rabbits,Slaughterings,Thousand heads (animals),:,
2010,Cyprus,Bovine meat,Slaughterings,Thousand tonnes,4.48,
2010,Cyprus,Bovine meat,Slaughterings,Thousand heads (animals),16.44,
2010,Cyprus,Pigmeat,Slaughterings,Thousand tonnes,57.06,
2010,Cyprus,Pigmeat,Slaughterings,Thousand heads (animals),734.06,
2010,Cyprus,Meat of sheep and goats,Slaughterings,Thousand tonnes,4.84,
2010,Cyprus,Meat of sheep and goats,Slaughterings,Thousand heads (animals),253.33,
,,,,,,
,,,,,,
2010,Cyprus,Poultry meat,Slaughterings,Thousand tonnes,27.71,
2010,Cyprus,Poultry meat,Slaughterings,Thousand heads (animals),13 772.95,
2010,Cyprus,Meat of rabbits,Slaughterings,Thousand tonnes,:,
2010,Cyprus,Meat of rabbits,Slaughterings,Thousand heads (animals),:,
2010,Latvia,Bovine meat,Slaughterings,Thousand tonnes,17.61,p
2010,Latvia,Bovine meat,Slaughterings,Thousand heads (animals),90.79,p
2010,Latvia,Pigmeat,Slaughterings,Thousand tonnes,23.33,p
2010,Latvia,Pigmeat,Slaughterings,Thousand heads (animals),315.63,p
2010,Latvia,Meat of sheep and goats,Slaughterings,Thousand tonnes,0.17,p
2010,Latvia,Meat of sheep and goats,Slaughterings,Thousand heads (animals),8.55,p
,,,,,,
,,,,,,
2010,Latvia,Poultry meat,Slaughterings,Thousand tonnes,23.39,p
2010,Latvia,Poultry meat,Slaughterings,Thousand heads (animals),15 101.07,p
2010,Latvia,Meat of rabbits,Slaughterings,Thousand tonnes,:,
2010,Latvia,Meat of rabbits,Slaughterings,Thousand heads (animals),:,
2010,Lithuania,Bovine meat,Slaughterings,Thousand tonnes,42.65,
2010,Lithuania,Bovine meat,Slaughterings,Thousand heads (animals),178.35,
2010,Lithuania,Pigmeat,Slaughterings,Thousand tonnes,54.81,
2010,Lithuania,Pigmeat,Slaughterings,Thousand heads (animals),702.63,
2010,Lithuania,Meat of sheep and goats,Slaughterings,Thousand tonnes,0.09,
2010,Lithuania,Meat of sheep and goats,Slaughterings,Thousand heads (animals),4.96,
,,,,,,
,,,,,,
2010,Lithuania,Poultry meat,Slaughterings,Thousand tonnes,71.93,
2010,Lithuania,Poultry meat,Slaughterings,Thousand heads (animals),40 612.72,
2010,Lithuania,Meat of rabbits,Slaughterings,Thousand tonnes,:,
2010,Lithuania,Meat of rabbits,Slaughterings,Thousand heads (animals),:,
2010,Luxembourg,Bovine meat,Slaughterings,Thousand tonnes,9.55,
2010,Luxembourg,Bovine meat,Slaughterings,Thousand heads (animals),26.61,
2010,Luxembourg,Pigmeat,Slaughterings,Thousand tonnes,9.51,
2010,Luxembourg,Pigmeat,Slaughterings,Thousand heads (animals),134.46,
2010,Luxembourg,Meat of sheep and goats,Slaughterings,Thousand tonnes,0.04,
2010,Luxembourg,Meat of sheep and goats,Slaughterings,Thousand heads (animals),2.16,
,,,,,,
,,,,,,
2010,Luxembourg,Poultry meat,Slaughterings,Thousand tonnes,0,
2010,Luxembourg,Poultry meat,Slaughterings,Thousand heads (animals),0,
2010,Luxembourg,Meat of rabbits,Slaughterings,Thousand tonnes,:,
2010,Luxembourg,Meat of rabbits,Slaughterings,Thousand heads (animals),:,
2010,Hungary,Bovine meat,Slaughterings,Thousand tonnes,27.09,
2010,Hungary,Bovine meat,Slaughterings,Thousand heads (animals),106.04,
2010,Hungary,Pigmeat,Slaughterings,Thousand tonnes,416.15,
2010,Hungary,Pigmeat,Slaughterings,Thousand heads (animals),4 610.04,
2010,Hungary,Meat of sheep and goats,Slaughterings,Thousand tonnes,0.2,
2010,Hungary,Meat of sheep and goats,Slaughterings,Thousand heads (animals),10.91,
,,,,,,
,,,,,,
2010,Hungary,Poultry meat,Slaughterings,Thousand tonnes,359.99,
2010,Hungary,Poultry meat,Slaughterings,Thousand heads (animals),149 417.77,
2010,Hungary,Meat of rabbits,Slaughterings,Thousand tonnes,:,
2010,Hungary,Meat of rabbits,Slaughterings,Thousand heads (animals),:,
2010,Malta,Bovine meat,Slaughterings,Thousand tonnes,1.42,
2010,Malta,Bovine meat,Slaughterings,Thousand heads (animals),5.69,
2010,Malta,Pigmeat,Slaughterings,Thousand tonnes,7.51,
2010,Malta,Pigmeat,Slaughterings,Thousand heads (animals),85.23,
2010,Malta,Meat of sheep and goats,Slaughterings,Thousand tonnes,0.08,
2010,Malta,Meat of sheep and goats,Slaughterings,Thousand heads (animals),3.96,
,,,,,,
,,,,,,
2010,Malta,Poultry meat,Slaughterings,Thousand tonnes,4.4,
2010,Malta,Poultry meat,Slaughterings,Thousand heads (animals),2 681.59,
2010,Malta,Meat of rabbits,Slaughterings,Thousand tonnes,:,
2010,Malta,Meat of rabbits,Slaughterings,Thousand heads (animals),:,
2010,Netherlands,Bovine meat,Slaughterings,Thousand tonnes,388.61,p
2010,Netherlands,Bovine meat,Slaughterings,Thousand heads (animals),2 028.30,p
2010,Netherlands,Pigmeat,Slaughterings,Thousand tonnes,1 288.27,p
2010,Netherlands,Pigmeat,Slaughterings,Thousand heads (animals),13 943.60,p
2010,Netherlands,Meat of sheep and goats,Slaughterings,Thousand tonnes,14.53,p
2010,Netherlands,Meat of sheep and goats,Slaughterings,Thousand heads (animals),686.63,p
,,,,,,
,,,,,,
2010,Netherlands,Poultry meat,Slaughterings,Thousand tonnes,:,c
2010,Netherlands,Poultry meat,Slaughterings,Thousand heads (animals),:,c
2010,Netherlands,Meat of rabbits,Slaughterings,Thousand tonnes,:,
2010,Netherlands,Meat of rabbits,Slaughterings,Thousand heads (animals),:,
2010,Austria,Bovine meat,Slaughterings,Thousand tonnes,224.79,
2010,Austria,Bovine meat,Slaughterings,Thousand heads (animals),702.35,
2010,Austria,Pigmeat,Slaughterings,Thousand tonnes,542.13,
2010,Austria,Pigmeat,Slaughterings,Thousand heads (animals),5 691.94,
2010,Austria,Meat of sheep and goats,Slaughterings,Thousand tonnes,8.03,
2010,Austria,Meat of sheep and goats,Slaughterings,Thousand heads (animals),371,
,,,,,,
,,,,,,
2010,Austria,Poultry meat,Slaughterings,Thousand tonnes,:,c
2010,Austria,Poultry meat,Slaughterings,Thousand heads (animals),:,c
2010,Austria,Meat of rabbits,Slaughterings,Thousand tonnes,:,
2010,Austria,Meat of rabbits,Slaughterings,Thousand heads (animals),:,
2010,Poland,Bovine meat,Slaughterings,Thousand tonnes,385.98,p
2010,Poland,Bovine meat,Slaughterings,Thousand heads (animals),1 521.30,p
2010,Poland,Pigmeat,Slaughterings,Thousand tonnes,1 741.43,p
2010,Poland,Pigmeat,Slaughterings,Thousand heads (animals),19 965.67,p
2010,Poland,Meat of sheep and goats,Slaughterings,Thousand tonnes,1.08,p
2010,Poland,Meat of sheep and goats,Slaughterings,Thousand heads (animals),65.05,p
,,,,,,
,,,,,,
2010,Poland,Poultry meat,Slaughterings,Thousand tonnes,1 342.32,p
2010,Poland,Poultry meat,Slaughterings,Thousand heads (animals),683 701.56,p
2010,Poland,Meat of rabbits,Slaughterings,Thousand tonnes,:,
2010,Poland,Meat of rabbits,Slaughterings,Thousand heads (animals),:,
2010,Portugal,Bovine meat,Slaughterings,Thousand tonnes,93.66,
2010,Portugal,Bovine meat,Slaughterings,Thousand heads (animals),404.68,
2010,Portugal,Pigmeat,Slaughterings,Thousand tonnes,384.2,
2010,Portugal,Pigmeat,Slaughterings,Thousand heads (animals),5 959.94,
2010,Portugal,Meat of sheep and goats,Slaughterings,Thousand tonnes,11.21,
2010,Portugal,Meat of sheep and goats,Slaughterings,Thousand heads (animals),1 128.00,
,,,,,,
,,,,,,
2010,Portugal,Poultry meat,Slaughterings,Thousand tonnes,296.35,
2010,Portugal,Poultry meat,Slaughterings,Thousand heads (animals),195 628.24,
2010,Portugal,Meat of rabbits,Slaughterings,Thousand tonnes,:,
2010,Portugal,Meat of rabbits,Slaughterings,Thousand heads (animals),:,
2010,Romania,Bovine meat,Slaughterings,Thousand tonnes,28.32,
2010,Romania,Bovine meat,Slaughterings,Thousand heads (animals),129.7,
2010,Romania,Pigmeat,Slaughterings,Thousand tonnes,234.2,
2010,Romania,Pigmeat,Slaughterings,Thousand heads (animals),2 900.93,
2010,Romania,Meat of sheep and goats,Slaughterings,Thousand tonnes,:,c
2010,Romania,Meat of sheep and goats,Slaughterings,Thousand heads (animals),:,c
,,,,,,
,,,,,,
2010,Romania,Poultry meat,Slaughterings,Thousand tonnes,287.47,
2010,Romania,Poultry meat,Slaughterings,Thousand heads (animals),175 969.90,
2010,Romania,Meat of rabbits,Slaughterings,Thousand tonnes,:,
2010,Romania,Meat of rabbits,Slaughterings,Thousand heads (animals),:,
2010,Slovenia,Bovine meat,Slaughterings,Thousand tonnes,35.77,
2010,Slovenia,Bovine meat,Slaughterings,Thousand heads (animals),124.86,
2010,Slovenia,Pigmeat,Slaughterings,Thousand tonnes,24.9,
2010,Slovenia,Pigmeat,Slaughterings,Thousand heads (animals),289.3,
2010,Slovenia,Meat of sheep and goats,Slaughterings,Thousand tonnes,0.12,
2010,Slovenia,Meat of sheep and goats,Slaughterings,Thousand heads (animals),9.41,
,,,,,,
,,,,,,
2010,Slovenia,Poultry meat,Slaughterings,Thousand tonnes,61.43,
2010,Slovenia,Poultry meat,Slaughterings,Thousand heads (animals),32 678.30,
2010,Slovenia,Meat of rabbits,Slaughterings,Thousand tonnes,:,
2010,Slovenia,Meat of rabbits,Slaughterings,Thousand heads (animals),:,
2010,Slovakia,Bovine meat,Slaughterings,Thousand tonnes,13.61,
2010,Slovakia,Bovine meat,Slaughterings,Thousand heads (animals),50.91,
2010,Slovakia,Pigmeat,Slaughterings,Thousand tonnes,68.6,
2010,Slovakia,Pigmeat,Slaughterings,Thousand heads (animals),758.12,
2010,Slovakia,Meat of sheep and goats,Slaughterings,Thousand tonnes,0.72,
2010,Slovakia,Meat of sheep and goats,Slaughterings,Thousand heads (animals),83.96,
,,,,,,
,,,,,,
2010,Slovakia,Poultry meat,Slaughterings,Thousand tonnes,:,c
2010,Slovakia,Poultry meat,Slaughterings,Thousand heads (animals),:,c
2010,Slovakia,Meat of rabbits,Slaughterings,Thousand tonnes,:,
2010,Slovakia,Meat of rabbits,Slaughterings,Thousand heads (animals),:,
2010,Finland,Bovine meat,Slaughterings,Thousand tonnes,82.13,
2010,Finland,Bovine meat,Slaughterings,Thousand heads (animals),264.96,
2010,Finland,Pigmeat,Slaughterings,Thousand tonnes,203.07,
2010,Finland,Pigmeat,Slaughterings,Thousand heads (animals),2 247.76,
2010,Finland,Meat of sheep and goats,Slaughterings,Thousand tonnes,0.72,
2010,Finland,Meat of sheep and goats,Slaughterings,Thousand heads (animals),37.09,
,,,,,,
,,,,,,
2010,Finland,Poultry meat,Slaughterings,Thousand tonnes,96.33,
2010,Finland,Poultry meat,Slaughterings,Thousand heads (animals),:,
2010,Finland,Meat of rabbits,Slaughterings,Thousand tonnes,:,
2010,Finland,Meat of rabbits,Slaughterings,Thousand heads (animals),:,
2010,Sweden,Bovine meat,Slaughterings,Thousand tonnes,148.34,
2010,Sweden,Bovine meat,Slaughterings,Thousand heads (animals),488.87,
2010,Sweden,Pigmeat,Slaughterings,Thousand tonnes,263.48,
2010,Sweden,Pigmeat,Slaughterings,Thousand heads (animals),2 936.24,
2010,Sweden,Meat of sheep and goats,Slaughterings,Thousand tonnes,5,
2010,Sweden,Meat of sheep and goats,Slaughterings,Thousand heads (animals),255.14,
,,,,,,
,,,,,,
2010,Sweden,Poultry meat,Slaughterings,Thousand tonnes,120.05,
2010,Sweden,Poultry meat,Slaughterings,Thousand heads (animals),82 519.12,
2010,Sweden,Meat of rabbits,Slaughterings,Thousand tonnes,:,
2010,Sweden,Meat of rabbits,Slaughterings,Thousand heads (animals),:,
2010,United Kingdom,Bovine meat,Slaughterings,Thousand tonnes,924.47,
2010,United Kingdom,Bovine meat,Slaughterings,Thousand heads (animals),2 759.52,
2010,United Kingdom,Pigmeat,Slaughterings,Thousand tonnes,772.35,
2010,United Kingdom,Pigmeat,Slaughterings,Thousand heads (animals),9 635.34,
2010,United Kingdom,Meat of sheep and goats,Slaughterings,Thousand tonnes,283.14,
2010,United Kingdom,Meat of sheep and goats,Slaughterings,Thousand heads (animals),14 300.04,
,,,,,,
,,,,,,
2010,United Kingdom,Poultry meat,Slaughterings,Thousand tonnes,1 567.72,
2010,United Kingdom,Poultry meat,Slaughterings,Thousand heads (animals),932 446.66,
2010,United Kingdom,Meat of rabbits,Slaughterings,Thousand tonnes,:,
2010,United Kingdom,Meat of rabbits,Slaughterings,Thousand heads (animals),:,
2010,Iceland,Bovine meat,Slaughterings,Thousand tonnes,:,
2010,Iceland,Bovine meat,Slaughterings,Thousand heads (animals),:,
2010,Iceland,Pigmeat,Slaughterings,Thousand tonnes,:,
2010,Iceland,Pigmeat,Slaughterings,Thousand heads (animals),:,
2010,Iceland,Meat of sheep and goats,Slaughterings,Thousand tonnes,:,
2010,Iceland,Meat of sheep and goats,Slaughterings,Thousand heads (animals),:,
,,,,,,
,,,,,,
2010,Iceland,Poultry meat,Slaughterings,Thousand tonnes,:,
2010,Iceland,Poultry meat,Slaughterings,Thousand heads (animals),:,
2010,Iceland,Meat of rabbits,Slaughterings,Thousand tonnes,:,
2010,Iceland,Meat of rabbits,Slaughterings,Thousand heads (animals),:,
2010,Switzerland,Bovine meat,Slaughterings,Thousand tonnes,143.39,
